"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"693fd810a9a4229a72964d7a","2695429-105097-1","2025-11-06T03:04:17Z","41098","2695429","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","185","10:00","06:55","185","0","0","6","0","0","2","6","2","4","2","3","1","1","1","2","1","2","1","0","3","4","1","1","5","1","3","0","2","0","1","0","0","1","0","03:05","5","1","1","0.5","0.5","6.265","5","5.6325","0.9577","0.4","0.5577","0","0.72","0.51","0.81","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964fb8","2695429-105097-2","2025-11-06T03:04:17Z","41098","2695429","4","2","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2481512","1","1","185","273","06:55","05:27","88","6","6","9","2","2","4","3","2","1","1","1","0","0","1","1","0","0","1","0","1","1","0","1","2","1","2","0","0","0","1","1","1","0","0","01:28","1","0","","1","","2","3","2.5","1.5","0.6667","0.8333","0","0.83","0.83","0.67","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964b9c","2695429-105097-3","2025-11-06T03:04:17Z","41098","2695429","5","3","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2118064","1","1","273","314","05:27","04:46","41","9","9","11","4","4","4","2","0","2","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:41","0","0","1","","","1","1","1","2","0","2","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a7296457a","2695429-105097-4","2025-11-06T03:04:17Z","41098","2695429","6","4","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291264-2481512-2118064","1","1","314","344","04:46","04:16","30","11","11","11","4","4","4","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","00:30","0","1","0","","","1","0","0.5","0","","","","","","","2138783","Jess Lawson","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72965cb5","2695429-105097-5","2025-11-06T03:04:17Z","41098","2695429","7","5","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2481512-2118064","1","1","344","422","04:16","02:58","78","11","11","13","4","4","8","2","4","-2","1","2","1","1","0","1","0","0","0","0","0","1","0","1","1","0","0","1","1","2","1","0","0","0","0","01:18","1","0","1","0","","2","1.8","1.9","1","2.2222","-1.2222","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a729646ff","2695429-105097-6","2025-11-06T03:04:17Z","41098","2695429","8","6","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2481512","1","1","422","435","02:58","02:45","13","13","13","13","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:13","0","0","","","","0","1","0.5","","0","","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965b33","2695429-105097-7","2025-11-06T03:04:17Z","41098","2695429","9","7","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2481512","1","1","435","517","02:45","01:23","82","13","13","15","8","8","10","2","2","0","1","2","1","2","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","1","0","0","1","0","01:22","0","1","0.5","","","2","1","1.5","1","2","-1","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965dcb","2695429-105097-8","2025-11-06T03:04:17Z","41098","2695429","10","8","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2118064","1","1","517","522","01:23","01:18","5","15","15","15","10","10","12","0","2","-2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","00:05","0","0","","","","1","0.8","0.9","0","2.5","-2.5","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964957","2695429-105097-9","2025-11-06T03:04:17Z","41098","2695429","11","9","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","522","600","01:18","00:00","78","15","15","17","12","12","12","2","0","2","1","3","1","1","0","2","0","0","1","0","0","3","0","0","4","0","3","0","1","0","0","0","0","1","1","01:18","3","2","1","0","","3","2.93","2.965","0.6667","0","0.6667","0","0.77","0.34","1","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964853","2695429-105097-10","2025-11-06T03:04:17Z","41098","2695429","12","10","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2270840-1688590-2118064","2","2","600","669","10:00","08:51","69","17","17","17","12","12","12","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","1","1","1","0","01:09","1","1","0","","","2","2","2","0","0","0","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964852","2695429-105097-11","2025-11-06T03:04:17Z","41098","2695429","13","11","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","2","2","669","741","08:51","07:39","72","17","17","17","12","12","12","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","1","0","01:12","1","1","","0","","2","2","2","0","0","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964e9d","2695429-105097-12","2025-11-06T03:04:17Z","41098","2695429","14","12","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","2","2","741","766","07:39","07:14","25","17","17","17","12","12","13","0","1","-1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","2","0","0","1","0","0","00:25","1","0","","","","1","1.8","1.4","0","0.5556","-0.5556","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72964955","2695429-105097-13","2025-11-06T03:04:17Z","41098","2695429","15","13","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-2481512-2118064","2","2","766","845","07:14","05:55","79","17","17","19","13","13","13","2","0","2","1","2","1","2","0","0","0","0","1","0","1","2","0","0","2","0","1","0","1","0","0","0","1","1","0","01:19","2","1","0.5","","","3","2","2.5","0.6667","0","0.6667","0","0.77","0.34","1","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a7296581f","2695429-105097-14","2025-11-06T03:04:17Z","41098","2695429","16","14","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-1688590-2118064","2","2","845","900","05:55","05:00","55","19","19","19","13","13","19","0","6","-6","0","0","0","0","0","0","0","0","0","0","3","0","0","3","3","3","3","0","0","0","1","1","3","0","0","00:55","0","0","","","","3","4","3.5","0","1.5","-1.5","0","0.04","0.13","0.16","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a729654f7","2695429-105097-15","2025-11-06T03:04:17Z","41098","2695429","17","15","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","2","2","900","1094","05:00","01:46","194","19","19","23","19","19","26","4","7","-3","2","4","2","3","0","1","0","0","2","0","2","3","0","3","5","2","3","1","2","1","2","1","1","2","0","03:14","3","2","0.6667","0","","6","6.4","6.2","0.6667","1.0938","-0.4271","0","0.3","0.34","0.34","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965dec","2695429-105097-16","2025-11-06T03:04:17Z","41098","2695429","18","16","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","2","2","1094","1200","01:46","00:00","106","23","23","26","26","26","31","3","5","-2","1","3","1","2","0","1","1","2","1","0","0","0","1","2","2","1","1","1","1","0","1","0","0","1","0","01:46","1","1","0.5","0","0.5","2.73","2","2.365","1.0989","2.5","-1.4011","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a729651a1","2695429-105097-17","2025-11-06T03:04:17Z","41098","2695429","19","17","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","3","3","1200","1335","10:00","07:45","135","26","26","32","31","31","35","6","4","2","2","4","0","2","2","2","0","0","2","0","0","2","0","2","6","2","4","0","2","0","1","1","0","2","2","02:15","2","4","0","1","","4","4.86","4.43","1.5","0.823","0.677","0","0.77","0.83","0.52","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964680","2695429-105097-18","2025-11-06T03:04:17Z","41098","2695429","20","18","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2481512","3","3","1335","1367","07:45","07:13","32","32","32","35","35","35","35","3","0","3","1","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:32","0","0","","1","","1","0","0.5","3","","","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a729653aa","2695429-105097-19","2025-11-06T03:04:17Z","41098","2695429","21","19","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","3","3","1367","1426","07:13","06:14","59","35","35","39","35","35","38","4","3","1","2","3","2","3","0","0","0","0","0","2","0","0","1","1","1","0","0","1","1","0","1","2","0","0","0","00:59","1","0","0.6667","","","1.93","3","2.465","2.0725","1","1.0725","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965e26","2695429-105097-20","2025-11-06T03:04:17Z","41098","2695429","22","20","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","3","3","1426","1485","06:14","05:15","59","39","39","44","38","38","43","5","5","0","2","2","1","1","1","1","0","0","1","0","0","0","0","2","2","1","1","1","1","0","2","0","0","0","0","00:59","0","0","1","1","","2","2","2","2.5","2.5","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a7296491e","2695429-105097-21","2025-11-06T03:04:17Z","41098","2695429","23","21","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","3","3","1485","1517","05:15","04:43","32","44","44","45","43","43","43","1","0","1","0","1","0","0","0","1","1","2","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","00:32","1","1","","0","0.5","2.265","1","1.6325","0.4415","0","0.4415","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a7296574c","2695429-105097-22","2025-11-06T03:04:17Z","41098","2695429","24","22","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","3","3","1517","1594","04:43","03:26","77","45","45","47","43","43","47","2","4","-2","1","1","1","1","0","0","0","0","1","0","2","0","0","2","3","2","2","0","1","0","1","1","0","0","1","01:17","0","1","1","","","3","2.93","2.965","0.6667","1.3652","-0.6985","0","0.2","0.34","0.22","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964e71","2695429-105097-23","2025-11-06T03:04:17Z","41098","2695429","25","23","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-2481512-2118064","3","3","1594","1772.6","03:26","00:27","178.6","47","47","49","47","47","49","2","2","0","1","3","1","3","0","0","0","0","1","1","2","1","1","1","4","1","4","0","0","0","1","2","0","1","2","02:59","2","3","0.3333","","","3.93","3.86","3.895","0.5089","0.5181","-0.0092","0","0.46","0.24","0.73","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72965a6b","2695429-105097-24","2025-11-06T03:04:17Z","41098","2695429","26","24","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2481512","3","3","1772.6","1793.8","00:27","00:06","21.2","49","49","49","49","49","51","0","2","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","00:21","0","0","","","","0","1","0.5","","2","","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964c53","2695429-105097-25","2025-11-06T03:04:17Z","41098","2695429","27","25","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-2291264-1688590","3","3","1793.8","1800","00:06","00:00","6.2","49","49","52","51","51","51","3","0","3","0","0","0","0","0","0","3","3","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","00:06","1","0","","","1","1.2","1","1.1","2.5","0","2.5","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger"
"693fd810a9a4229a72964854","2695429-105097-26","2025-11-06T03:04:17Z","41098","2695429","28","26","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","4","4","1800","1866","10:00","08:54","66","52","52","52","51","51","51","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","2","0","2","0","0","0","0","0","0","0","1","01:06","2","1","0","","","0.93","0.93","0.93","0","0","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964f76","2695429-105097-27","2025-11-06T03:04:17Z","41098","2695429","29","27","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2481512-2118064","4","4","1866","1965","08:54","07:15","99","52","52","54","51","51","53","2","2","0","0","2","0","1","0","1","2","2","0","0","2","2","1","1","3","1","3","0","0","0","1","0","2","0","0","01:39","3","0","0","0","1","2.66","3","2.83","0.7519","0.6667","0.0852","0","0.53","0.41","0.67","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72965ec2","2695429-105097-28","2025-11-06T03:04:17Z","41098","2695429","30","28","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2118064","4","4","1965","2020","07:15","06:20","55","54","54","54","53","53","56","0","3","-3","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","1","1","0","1","0","0","1","0","00:55","0","1","","","0","0.8","1","0.9","0","3","-3","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965c00","2695429-105097-29","2025-11-06T03:04:17Z","41098","2695429","31","29","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","4","4","2020","2105","06:20","04:55","85","54","54","54","56","56","62","0","6","-6","0","1","0","1","0","0","0","0","0","0","2","1","0","2","2","1","1","1","1","2","2","0","2","0","0","01:25","1","0","0","","","3","2.8","2.9","0","2.1429","-2.1429","0","0.01","0.13","0.03","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964ab0","2695429-105097-30","2025-11-06T03:04:17Z","41098","2695429","32","30","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","4","4","2105","2225","04:55","02:55","120","54","54","58","62","62","62","4","0","4","2","2","2","2","0","0","0","0","2","0","1","1","0","0","2","0","0","0","2","0","0","2","1","0","0","02:00","1","0","1","","","3","4","3.5","1.3333","0","1.3333","0","0.94","0.75","1","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964dc3","2695429-105097-31","2025-11-06T03:04:17Z","41098","2695429","33","31","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","4","4","2225","2400","02:55","00:00","175","58","58","60","62","62","64","2","2","0","0","5","0","2","0","3","2","2","0","1","1","2","1","0","2","0","2","0","0","4","0","1","1","3","0","02:55","3","3","0","0","1","5.4625","4.6","5.0313","0.3661","0.4348","-0.0686","0","0.44","0.17","0.79","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"