,team,composite_score,mean_rank,median_rank,best_rank,worst_rank,seasons_count,mean_srs,median_srs,best_srs,worst_srs,most_common_conference,mean_normalized_rank,mean_normalized_srs,composite_rank,rank_stability,srs_stability
0,South Carolina,99.2,2.0,1.0,1,5,5,41.7,44.5,34.8,45.3,SEC,0.3,97.9,1,1.7,4.8
1,Connecticut,96.9,2.2,2.0,1,4,5,38.5,37.6,32.7,45.7,Big East,0.3,93.8,2,1.1,4.6
2,Texas,93.8,8.0,4.0,3,22,5,33.2,36.5,22.6,41.0,Big 12,2.0,87.3,3,8.0,7.2
3,UCLA,91.3,12.6,6.0,6,39,5,31.2,34.0,18.1,38.0,Pac-12,3.3,84.6,4,14.8,7.6
4,Notre Dame,90.7,16.0,8.0,4,48,5,28.9,32.3,14.9,39.8,ACC,4.3,81.9,5,18.1,9.4
5,Iowa,90.3,11.2,10.0,3,25,5,30.3,27.0,24.3,37.0,Big Ten,2.9,83.6,6,9.2,6.2
6,NC State,90.2,9.6,10.0,2,15,5,30.8,30.4,27.8,35.1,ACC,2.4,84.1,7,4.7,2.7
7,Louisiana State,89.8,18.6,8.0,5,54,5,27.9,34.1,13.8,35.3,SEC,5.1,80.7,8,20.9,9.5
8,Baylor,89.1,11.4,15.0,3,16,5,30.6,28.2,28.2,38.3,Big 12,2.9,83.6,9,5.7,4.4
9,Stanford,88.7,12.4,7.0,1,44,5,32.4,33.9,17.4,42.3,Pac-12,3.2,85.9,10,17.9,9.1
10,Ohio State,88.7,14.2,14.0,9,22,5,28.2,29.7,22.0,31.8,Big Ten,3.7,80.8,11,5.5,4.3
11,Southern California,87.6,27.6,11.0,5,61,5,25.4,30.2,12.8,39.5,Pac-12,7.6,77.5,12,25.9,11.4
12,Tennessee,87.0,18.0,18.0,9,24,5,26.2,24.5,23.8,33.8,SEC,4.8,78.3,13,6.4,4.3
13,Indiana,86.7,16.0,12.0,9,30,5,27.4,29.5,23.5,30.2,Big Ten,4.2,79.7,14,8.3,3.2
14,Duke,85.8,29.6,18.0,7,59,5,23.7,27.6,12.9,35.4,ACC,8.2,75.4,15,21.9,9.4
15,West Virginia,85.7,25.6,19.0,13,53,5,24.8,27.5,14.8,32.1,Big 12,6.9,76.5,16,15.8,6.7
16,Kansas State,85.7,31.4,16.0,11,78,5,23.8,28.2,10.0,33.2,Big 12,8.7,75.5,17,27.8,9.2
17,Maryland,85.0,20.2,26.0,4,30,5,26.7,25.7,22.6,36.3,Big Ten,5.4,78.7,18,12.0,5.6
18,Louisville,85.0,19.2,23.0,5,35,5,26.3,24.6,22.6,30.4,ACC,5.1,78.3,19,11.9,3.4
19,Utah,84.6,29.2,24.0,13,69,5,23.2,26.1,11.0,28.7,Pac-12,8.0,74.7,20,23.1,7.4
20,Oklahoma,84.6,28.4,26.0,10,52,5,22.9,23.2,13.9,33.4,Big 12,7.8,74.3,21,15.1,7.0
21,Michigan State,83.8,30.8,21.0,21,64,5,23.1,26.7,12.4,28.8,Big Ten,8.4,74.3,22,18.7,6.7
22,North Carolina,83.6,27.0,34.0,6,36,5,23.5,21.0,17.8,29.6,ACC,7.3,74.9,23,12.9,5.1
23,Mississippi,83.5,28.8,33.0,14,39,5,22.4,21.3,16.8,31.2,SEC,7.9,73.6,24,9.7,5.3
24,Iowa State,83.3,24.2,28.0,9,33,5,23.5,22.9,22.5,26.3,Big 12,6.5,74.9,25,9.2,1.5
25,Virginia Tech,82.9,26.2,20.0,16,43,5,23.0,24.5,17.6,26.9,ACC,7.1,74.3,26,11.1,4.3
26,Michigan,82.6,28.4,24.0,12,44,5,23.4,23.7,19.1,28.1,Big Ten,7.7,74.7,27,14.9,4.3
27,Colorado,82.2,28.2,29.0,14,51,5,22.3,20.5,15.2,28.6,Pac-12,7.7,73.3,28,15.4,6.1
28,Alabama,82.0,34.4,32.0,18,52,5,20.9,21.8,14.9,29.2,SEC,9.4,71.7,29,12.3,5.5
29,Nebraska,81.6,31.4,29.0,20,41,5,21.2,22.5,16.0,22.8,Big Ten,8.6,72.1,30,8.3,3.0
30,Florida State,80.5,38.8,40.0,22,47,5,19.7,19.8,15.3,28.3,ACC,10.7,70.2,31,9.9,5.3
31,Creighton,80.2,41.6,31.0,27,84,5,19.4,21.8,8.6,23.1,Big East,11.5,69.8,32,24.2,6.1
32,Arizona,80.1,30.4,35.0,8,55,5,22.3,21.2,14.8,31.0,Pac-12,8.2,73.1,33,17.9,5.8
33,Mississippi State,79.0,41.8,38.0,31,58,5,18.5,20.0,13.3,23.4,SEC,11.5,68.6,34,10.2,4.0
34,Oklahoma State,78.1,44.2,51.0,21,70,5,18.7,17.0,11.8,25.0,Big 12,12.1,68.7,35,19.7,5.3
35,Gonzaga,78.0,39.0,27.0,22,95,5,20.3,21.0,7.5,26.3,WCC,10.6,70.7,36,31.5,7.7
36,TCU,77.0,63.8,47.0,12,127,5,16.0,18.2,2.6,32.9,Big 12,17.8,65.6,37,44.0,11.5
37,Georgia Tech,76.9,46.0,35.0,29,68,5,17.9,19.8,12.6,24.5,ACC,12.6,67.7,38,20.2,5.2
38,Oregon State,76.4,43.8,17.0,17,126,5,20.0,23.9,4.1,27.9,Pac-12,12.0,70.3,39,47.2,10.1
39,Washington,76.1,53.2,46.0,40,83,5,16.3,18.6,9.6,20.6,Pac-12,14.7,65.8,40,17.1,4.5
40,Oregon,76.0,45.6,34.0,7,87,5,19.4,22.8,9.0,31.0,Pac-12,12.4,69.3,41,39.1,9.9
41,Kansas,75.8,50.8,37.0,33,80,5,16.5,19.9,9.8,20.3,Big 12,14.1,66.1,42,21.3,5.1
42,Vanderbilt,75.8,68.4,53.0,20,151,5,14.7,16.4,-0.8,28.9,SEC,19.2,64.0,43,49.1,10.6
43,Texas A&M,75.7,44.0,34.0,19,88,5,18.1,21.3,8.7,23.7,SEC,12.0,67.8,44,26.3,6.1
44,Penn State,75.3,55.4,61.0,25,104,5,15.4,12.7,4.9,23.6,Big Ten,15.4,64.7,45,32.7,8.1
45,Marquette,75.2,50.0,45.0,40,63,5,16.1,16.8,12.4,19.0,Big East,13.8,65.4,46,9.6,3.1
46,Florida,74.6,54.8,56.0,42,70,5,14.9,15.4,10.9,17.7,SEC,15.2,64.0,47,10.3,2.5
47,South Dakota State,74.3,52.8,56.0,34,64,5,15.3,13.5,13.2,19.8,Summit,14.6,64.4,48,12.9,2.9
48,Auburn,74.0,64.6,48.0,39,111,5,13.7,15.8,4.6,19.9,SEC,18.1,62.6,49,32.4,7.0
49,Nevada-Las Vegas,73.8,64.8,53.0,42,107,5,13.9,15.1,5.0,19.6,MWC,18.1,62.8,50,28.2,6.4
50,Syracuse,73.6,56.6,41.0,35,95,5,15.0,17.7,6.6,19.7,ACC,15.6,64.1,51,25.7,5.8
51,Miami (FL),73.6,54.6,48.0,40,77,5,15.0,16.7,10.8,17.4,ACC,15.1,64.1,52,14.4,3.1
52,California,73.2,73.4,54.0,36,144,5,12.8,15.7,0.0,22.5,Pac-12,20.6,61.5,53,42.3,8.4
53,Minnesota,73.2,67.0,60.0,37,93,5,13.3,14.0,7.2,22.0,Big Ten,18.7,62.1,54,22.3,5.7
54,Washington State,73.1,53.8,31.0,28,125,5,16.6,20.4,4.2,21.9,Pac-12,14.8,66.1,55,41.2,7.5
55,Illinois,72.9,80.8,43.0,32,184,5,13.1,19.5,-2.5,23.4,Big Ten,22.6,61.8,56,63.9,11.1
56,Villanova,72.7,61.8,66.0,49,74,5,13.8,12.2,10.6,17.3,Big East,17.2,62.7,57,12.0,3.2
57,Kentucky,72.6,63.6,32.0,19,121,5,15.8,20.1,4.3,29.0,SEC,17.5,64.9,58,52.6,11.0
58,Missouri,72.0,58.8,56.0,42,70,5,13.6,14.1,11.9,16.0,SEC,16.2,62.2,59,11.7,1.7
59,Middle Tennessee,71.9,68.6,60.0,52,112,5,12.5,12.8,4.1,16.7,CUSA,19.2,61.1,60,25.1,5.2
60,Florida Gulf Coast,71.6,60.2,59.0,51,79,5,13.5,14.1,10.5,15.0,A-Sun,16.6,62.2,61,11.1,1.7
61,Brigham Young,71.5,58.2,76.0,14,78,5,14.4,10.8,10.7,24.8,Big 12,16.0,63.3,62,27.9,6.1
62,Boston College,71.2,63.8,69.0,43,75,5,12.6,12.1,10.5,15.9,ACC,17.7,61.1,63,12.4,2.0
63,Texas Tech,70.7,69.0,65.0,58,89,5,11.8,13.1,7.8,13.2,Big 12,19.2,60.1,64,11.8,2.3
64,Belmont,70.6,68.4,74.0,54,81,5,11.9,11.1,9.5,14.9,MVC,19.0,60.2,65,11.4,2.1
65,Georgia,70.6,58.4,83.0,16,84,5,14.7,9.4,9.3,24.1,SEC,16.0,63.5,66,34.3,7.4
66,Drake,70.0,68.6,66.0,55,84,5,12.1,13.0,9.5,13.5,MVC,19.0,60.4,67,10.6,1.7
67,Seton Hall,69.9,69.0,62.0,58,88,5,11.9,13.2,7.9,13.5,Big East,19.1,60.1,68,12.4,2.4
68,Arkansas,69.8,61.2,67.0,26,116,5,14.3,12.7,5.0,21.0,SEC,16.8,63.1,69,36.3,6.5
69,Clemson,69.5,72.6,77.0,50,96,5,11.0,10.5,6.5,15.2,ACC,20.2,59.0,70,17.2,3.1
70,Richmond,69.4,90.8,61.0,41,158,5,9.7,14.0,-1.2,19.6,A-10,25.5,57.7,71,51.4,8.8
71,UCF,69.1,65.0,75.0,23,106,5,13.0,10.9,5.9,22.0,Big 12,17.9,61.5,72,31.6,6.0
72,South Florida,67.8,72.2,73.0,36,102,5,11.6,11.4,6.9,17.7,AAC,19.9,59.7,73,30.3,4.8
73,Virginia,67.8,97.0,59.0,55,192,5,8.5,13.1,-4.5,15.6,ACC,27.3,56.2,74,60.7,9.0
74,Purdue,67.3,77.6,74.0,63,111,5,10.6,11.2,5.4,13.3,Big Ten,21.6,58.6,75,19.7,3.2
75,Missouri State,67.3,73.8,69.0,31,110,5,11.6,11.8,5.5,19.7,MVC,20.4,59.5,76,35.7,6.2
76,Princeton,67.1,50.5,50.0,38,64,4,16.4,17.1,12.6,18.7,Ivy,13.8,64.9,77,10.6,2.6
77,Green Bay,67.1,85.8,89.0,58,119,5,9.1,8.6,3.5,14.2,Horizon,24.0,56.8,78,27.5,5.0
78,Arizona State,65.6,79.0,95.0,41,107,5,10.2,7.8,5.8,16.2,Pac-12,21.9,57.9,79,28.4,4.4
79,Northern Iowa,65.3,85.0,85.0,62,103,5,9.2,9.2,6.7,12.6,MVC,23.6,56.7,80,18.3,2.6
80,St. John's (NY),65.1,94.4,81.0,74,120,5,7.3,9.5,2.5,11.3,Big East,26.4,54.4,81,21.8,4.0
81,Saint Joseph's,65.0,106.8,71.0,61,185,5,6.7,11.7,-3.8,12.7,A-10,30.1,53.8,82,55.5,7.5
82,DePaul,64.6,84.0,96.0,44,117,5,9.5,7.6,4.8,15.7,Big East,23.3,57.0,83,28.6,4.3
83,Columbia,64.5,67.2,57.0,47,108,4,12.5,14.4,4.7,16.3,Ivy,18.5,59.9,84,27.6,5.3
84,Wake Forest,64.4,86.2,92.0,49,106,5,9.0,8.2,6.0,14.7,ACC,23.9,56.4,85,23.8,3.6
85,Ball State,64.2,100.0,89.0,76,135,5,6.9,9.0,1.0,11.2,MAC,28.0,54.0,86,23.3,4.1
86,Portland,63.6,99.0,99.0,73,138,5,7.1,7.1,0.7,11.4,WCC,27.7,54.2,87,24.3,4.0
87,Murray State,63.1,110.0,108.0,49,163,5,5.7,5.7,-1.8,15.7,MVC,30.9,52.4,88,40.9,6.4
88,Houston,63.1,89.6,79.0,65,144,5,8.4,9.7,1.0,11.9,Big 12,24.9,55.6,89,31.1,4.2
89,Toledo,63.0,101.6,75.0,73,155,5,7.2,11.1,-1.0,11.3,MAC,28.5,54.3,90,39.1,5.8
90,Cincinnati,62.9,109.2,80.0,78,182,5,6.0,9.9,-2.3,10.5,Big 12,30.6,52.8,91,46.0,5.8
91,Rhode Island,62.8,99.4,86.0,77,127,5,7.1,9.1,2.0,10.8,A-10,27.8,54.1,92,22.9,3.7
92,Temple,62.6,102.6,100.0,90,124,5,6.3,7.1,2.1,8.9,AAC,28.7,53.2,93,14.3,2.9
93,Rutgers,62.6,91.4,99.0,13,126,5,9.4,6.0,3.3,26.7,Big Ten,25.2,56.7,94,46.4,9.9
94,North Texas,62.2,104.8,102.0,91,126,5,6.1,6.6,2.0,8.8,AAC,29.3,52.9,95,15.2,3.0
95,Wyoming,61.8,103.0,103.0,87,112,5,6.0,5.2,5.2,8.8,MWC,28.7,52.7,96,10.3,1.6
96,Colorado State,61.2,103.8,111.0,85,115,5,6.2,5.4,4.2,8.5,MWC,28.9,52.8,97,12.5,1.7
97,George Mason,60.9,142.4,72.0,52,285,5,2.9,11.5,-16.8,15.2,A-10,40.3,49.2,98,107.6,14.0
98,Wisconsin,60.9,112.0,101.0,90,164,5,5.4,7.0,-0.6,8.5,Big Ten,31.3,52.0,99,29.6,3.6
99,Rice,60.8,107.4,94.0,66,169,5,6.4,8.0,-1.0,11.8,AAC,29.9,53.1,100,38.4,4.7
100,Northwestern,60.7,97.4,96.0,20,157,5,8.7,7.4,-0.6,23.3,Big Ten,26.9,55.8,101,60.7,10.2
101,Virginia Commonwealth,60.5,105.4,90.0,84,150,5,5.7,7.4,0.4,9.2,A-10,29.4,52.4,102,28.8,4.0
102,Davidson,60.1,123.8,99.0,93,205,5,4.2,7.1,-5.5,8.5,A-10,34.8,50.7,103,47.8,6.0
103,Grand Canyon,59.7,129.4,105.0,65,202,5,3.9,6.3,-3.5,12.4,WAC,36.3,50.1,104,55.4,6.6
104,James Madison,59.6,124.0,114.0,70,180,5,4.0,5.0,-2.0,11.8,Sun Belt,34.7,50.2,105,40.5,5.3
105,Troy,59.6,112.4,107.0,105,125,5,4.7,4.8,2.1,6.0,Sun Belt,31.4,51.1,106,8.7,1.6
106,Cleveland State,59.3,119.0,128.0,92,144,5,4.7,3.8,0.7,8.6,Horizon,33.3,51.1,107,25.3,3.8
107,Harvard,59.3,92.8,100.0,45,126,4,8.4,7.1,2.6,16.9,Ivy,25.6,54.7,108,34.1,6.0
108,Stephen F. Austin,59.2,104.2,105.0,37,155,5,6.9,5.9,-0.3,17.6,WAC,28.9,53.6,109,52.2,7.8
109,Georgetown,58.9,129.6,103.0,85,211,5,3.6,6.4,-4.8,9.1,Big East,36.4,49.8,110,55.9,6.5
110,Fairfield,58.8,132.0,113.0,81,218,5,3.0,5.0,-7.3,10.3,MAAC,37.2,49.2,111,51.8,6.5
111,Tulane,58.7,108.4,120.0,64,143,5,6.1,4.4,1.3,12.1,AAC,30.1,52.7,112,38.2,5.3
112,Liberty,58.6,121.6,137.0,82,154,5,3.7,1.8,-0.9,9.8,CUSA,34.1,49.9,113,30.2,4.2
113,Pittsburgh,58.5,113.0,113.0,87,134,5,4.8,5.3,2.2,8.0,ACC,31.5,51.2,114,21.3,2.6
114,Tulsa,58.5,120.0,106.0,98,159,5,4.1,4.8,-1.5,7.4,AAC,33.6,50.4,115,27.6,3.8
115,Illinois State,58.2,115.0,123.0,76,134,5,4.9,3.8,2.3,10.1,MVC,32.0,51.2,116,22.5,3.0
116,Southern Methodist,58.2,130.4,118.0,94,220,5,2.9,4.6,-7.4,7.6,AAC,36.7,49.0,117,51.2,5.9
117,East Carolina,57.4,124.4,132.0,104,147,5,3.6,2.7,0.9,6.5,AAC,34.8,49.7,118,19.4,2.8
118,Montana State,57.3,129.0,151.0,68,158,5,3.2,0.1,-0.0,12.0,Big Sky,36.1,49.1,119,37.7,5.2
119,Kent State,57.0,127.0,122.0,112,156,5,3.2,4.2,-1.1,4.4,MAC,35.6,49.2,120,16.8,2.4
120,Santa Clara,56.7,121.4,118.0,80,192,5,3.9,2.8,-4.7,9.7,WCC,33.9,50.1,121,46.5,6.1
121,Providence,55.8,135.0,127.0,119,157,5,2.4,4.0,-1.2,4.4,Big East,37.8,48.2,122,18.6,2.7
122,Northern Arizona,55.6,140.4,132.0,98,181,5,1.7,2.5,-3.4,7.1,Big Sky,39.4,47.4,123,31.4,3.9
123,Marshall,55.4,132.8,150.0,82,184,5,2.6,-0.8,-4.2,9.5,Sun Belt,37.2,48.5,124,47.9,6.4
124,New Mexico,55.3,121.0,143.0,68,150,5,3.9,1.1,0.3,11.3,MWC,33.6,49.9,125,37.8,4.9
125,North Dakota State,55.0,136.0,115.0,110,203,5,2.6,4.6,-3.7,5.0,Summit,38.0,48.4,126,38.9,3.7
126,San Francisco,55.0,126.6,136.0,98,149,5,3.1,2.5,0.4,6.4,WCC,35.3,48.9,127,25.3,2.8
127,Old Dominion,54.6,129.8,133.0,97,157,5,2.5,2.4,-0.4,6.1,Sun Belt,36.2,48.3,128,21.4,2.3
128,Buffalo,54.1,132.0,108.0,66,189,5,2.9,4.7,-4.0,12.1,MAC,36.8,48.7,129,54.8,6.9
129,San Diego State,53.0,152.2,146.0,110,197,5,0.4,0.8,-4.8,5.5,MWC,42.7,45.7,130,31.5,3.7
130,Duquesne,52.9,154.2,131.0,130,225,5,0.2,2.6,-8.1,3.7,A-10,43.4,45.5,131,40.8,4.8
131,UC Irvine,52.7,144.0,129.0,128,171,5,1.0,2.6,-2.3,2.8,Big West,40.3,46.4,132,21.2,2.5
132,Montana,52.4,152.4,145.0,109,226,5,0.3,1.3,-8.2,5.7,Big Sky,42.8,45.7,133,49.2,5.9
133,South Dakota,52.1,125.2,148.0,37,250,5,5.4,0.6,-9.4,19.4,Summit,34.7,51.6,134,88.2,11.9
134,Oral Roberts,52.0,163.8,144.0,104,239,5,-0.7,1.2,-9.7,6.3,Summit,46.1,44.4,135,51.5,5.9
135,Hawaii,51.6,152.2,151.0,138,177,5,0.2,0.2,-2.9,1.7,Big West,42.7,45.4,136,16.1,1.9
136,Bowling Green State,51.6,138.8,141.0,73,181,5,1.8,1.6,-3.4,10.6,MAC,38.6,47.2,137,45.6,5.8
137,Boise State,51.5,152.2,139.0,122,223,5,0.3,1.5,-6.0,2.4,MWC,42.5,45.5,138,40.2,3.6
138,Charlotte,51.2,137.6,124.0,93,234,5,1.9,3.6,-8.3,6.7,AAC,38.3,47.5,139,55.4,5.9
139,Western Kentucky,51.2,158.2,162.0,115,187,5,-0.5,-1.4,-3.9,5.1,CUSA,44.4,44.6,140,26.3,3.3
140,UC Davis,50.9,141.4,152.0,87,174,5,1.1,0.2,-3.0,8.2,Big West,39.4,46.3,141,37.6,4.7
141,UTSA,50.7,184.4,127.0,83,306,5,-3.1,3.1,-19.8,9.4,AAC,52.1,41.5,142,100.8,12.1
142,Memphis,50.6,156.2,141.0,120,206,5,0.1,1.8,-5.6,4.4,AAC,43.8,45.3,143,41.1,4.9
143,Saint Louis,50.6,146.0,136.0,96,191,5,1.1,2.1,-4.6,6.8,A-10,40.7,46.3,144,36.6,4.2
144,Stony Brook,50.5,150.4,139.0,88,268,5,1.3,1.9,-11.1,9.0,CAA,42.1,46.9,145,74.3,8.4
145,Pacific,50.4,153.2,135.0,109,222,5,0.2,2.1,-6.0,4.6,WCC,42.8,45.3,146,43.3,4.2
146,Butler,50.3,178.6,117.0,112,313,5,-2.1,4.7,-16.6,5.3,Big East,50.3,42.6,147,91.0,10.0
147,Norfolk State,50.1,181.6,142.0,91,289,5,-3.0,1.3,-17.4,8.3,MEAC,51.2,41.6,148,81.8,10.0
148,Fordham,49.5,147.6,173.0,82,180,5,0.4,-2.9,-3.8,9.6,A-10,41.2,45.5,149,41.7,5.6
149,College of Charleston,49.5,176.8,158.0,109,273,5,-2.6,-0.6,-14.8,5.7,CAA,49.8,42.1,150,60.5,7.5
150,Vermont,49.1,177.8,152.0,122,257,5,-2.4,0.1,-12.2,4.4,AEC,50.0,42.3,151,53.6,6.3
151,California Baptist,49.0,148.2,125.0,99,249,5,1.0,3.3,-9.4,5.9,WAC,41.3,46.2,152,58.5,6.0
152,Lamar,48.9,179.4,147.0,124,250,5,-2.4,0.7,-11.3,4.3,Southland,50.5,42.2,153,56.2,6.3
153,Louisiana Tech,48.3,157.8,167.0,138,176,5,-1.0,-2.1,-3.2,2.0,CUSA,44.1,43.9,154,17.1,2.2
154,Louisiana,48.1,163.4,163.0,160,166,5,-1.5,-1.6,-2.1,-0.4,Sun Belt,45.7,43.2,155,2.6,0.7
155,Wichita State,47.9,157.2,169.0,110,187,5,-0.9,-2.6,-3.7,4.6,AAC,43.9,43.9,156,34.4,3.7
156,Purdue Fort Wayne,47.9,193.4,141.0,101,296,5,-4.3,1.4,-17.4,6.9,Horizon,54.5,40.0,157,91.5,10.6
157,UAB,47.7,170.6,171.0,153,203,5,-1.9,-1.7,-5.4,0.1,AAC,47.9,42.7,158,20.5,2.3
158,Dayton,47.6,155.4,154.0,55,234,5,0.7,0.0,-8.3,14.2,A-10,43.3,45.8,159,79.9,9.6
159,Air Force,47.1,168.6,183.0,125,188,5,-1.9,-3.4,-3.9,2.7,MWC,47.2,42.7,160,26.0,2.7
160,Fresno State,46.9,160.6,172.0,79,192,5,-0.5,-2.6,-4.3,9.8,MWC,44.7,44.3,161,46.9,5.9
161,Eastern Washington,46.9,187.8,207.0,97,275,5,-3.3,-5.9,-15.2,7.4,Big Sky,52.9,41.2,162,86.8,10.3
162,Jackson State,46.9,159.0,116.0,100,298,5,-0.2,4.8,-14.5,5.9,SWAC,44.4,44.9,163,81.4,8.6
163,Maine,46.8,169.0,147.0,128,226,5,-1.4,-0.1,-7.6,3.1,AEC,47.3,43.3,164,48.2,4.9
164,North Carolina A&T,46.6,178.6,159.0,156,245,5,-2.7,-1.0,-8.7,-0.3,CAA,50.1,41.7,165,37.8,3.4
165,Drexel,46.4,162.4,171.0,107,217,5,-1.4,-2.5,-6.6,4.7,CAA,45.4,43.3,166,40.2,4.1
166,Saint Mary's (CA),46.3,169.4,177.0,132,182,5,-2.2,-3.2,-3.9,2.4,WCC,47.4,42.3,167,21.0,2.6
167,Idaho,45.7,175.2,193.0,131,204,5,-2.2,-3.7,-4.3,1.4,Big Sky,49.0,42.2,168,30.9,2.7
168,Southeastern Louisiana,45.6,191.4,176.0,131,238,5,-3.9,-3.1,-9.1,3.6,Southland,53.8,40.3,169,45.5,5.0
169,Nevada,45.2,171.2,186.0,140,199,5,-2.1,-3.6,-5.1,1.9,MWC,47.8,42.4,170,26.8,2.9
170,UT Arlington,45.2,176.8,191.0,117,203,5,-2.6,-4.5,-4.8,3.6,WAC,49.5,41.8,171,36.0,3.6
171,Arkansas State,44.8,194.6,170.0,147,265,5,-4.7,-2.5,-13.2,0.8,Sun Belt,54.8,39.4,172,47.8,5.4
172,Chattanooga,44.8,194.0,183.0,130,303,5,-4.2,-4.0,-14.6,2.8,Southern,54.5,39.9,173,72.6,7.4
173,Massachusetts,44.7,168.6,145.0,60,266,5,-1.0,1.0,-12.1,13.0,A-10,47.0,43.6,174,93.9,11.0
174,Tennessee Tech,44.6,178.8,155.0,143,224,5,-2.5,0.1,-6.8,0.7,OVC,50.0,41.8,175,41.5,3.9
175,San Diego,44.6,163.8,185.0,91,255,5,-0.8,-3.5,-9.6,7.2,WCC,45.6,44.0,176,67.5,7.0
176,Albany (NY),44.1,198.4,178.0,146,283,5,-5.3,-3.3,-16.5,0.8,AEC,55.9,38.7,177,52.0,6.6
177,Lehigh,44.1,178.6,156.0,115,241,5,-2.5,0.2,-9.2,3.8,Patriot,49.8,41.8,178,58.8,6.2
178,Illinois-Chicago,44.1,206.2,156.0,133,323,5,-5.7,-0.4,-17.7,3.0,MVC,58.0,38.1,179,82.6,9.1
179,Idaho State,43.9,173.2,198.0,94,211,5,-1.7,-5.1,-5.4,7.1,Big Sky,48.3,42.7,180,50.5,5.5
180,Abilene Christian,43.6,197.8,188.0,153,246,5,-4.6,-3.8,-10.5,0.1,WAC,55.6,39.4,181,34.6,3.8
181,Loyola (IL),43.6,172.2,164.0,123,270,5,-2.2,-1.6,-11.2,2.8,A-10,48.1,42.2,182,57.4,5.4
182,Delaware,43.5,169.4,202.0,90,240,5,-1.2,-4.7,-8.7,7.7,CAA,47.2,43.3,183,64.4,6.9
183,Pennsylvania,43.5,163.8,160.0,160,175,4,-1.2,-1.0,-1.8,-1.0,Ivy,45.4,42.4,184,7.5,0.4
184,Towson,43.4,174.8,182.0,92,256,5,-2.2,-3.4,-9.6,7.0,CAA,48.8,42.3,185,58.6,6.0
185,Northern Colorado,43.3,188.0,186.0,180,198,5,-3.7,-3.3,-4.9,-3.2,Big Sky,52.7,40.4,186,8.6,0.7
186,Holy Cross,42.9,197.6,184.0,175,244,5,-4.8,-3.5,-10.3,-3.0,Patriot,55.5,39.2,187,27.6,3.1
187,Southern Mississippi,42.5,194.4,192.0,140,260,5,-4.0,-2.9,-10.2,1.4,Sun Belt,54.6,40.1,188,55.5,5.7
188,Long Beach State,42.3,178.8,198.0,121,243,5,-2.8,-4.5,-8.9,3.0,Big West,49.9,41.5,189,50.5,4.8
