,team,composite_score,mean_rank,median_rank,best_rank,worst_rank,seasons_count,mean_srs,median_srs,best_srs,worst_srs,most_common_conference,mean_normalized_rank,mean_normalized_srs,composite_rank,rank_stability,srs_stability
189,New Mexico State,41.9,207.6,207.0,142,247,5,-5.3,-5.0,-9.1,1.2,CUSA,58.3,38.5,190,40.6,4.1
190,George Washington,41.3,193.2,180.0,179,237,5,-4.2,-3.3,-8.4,-2.9,A-10,54.1,39.8,191,25.0,2.4
191,Tennessee-Martin,40.9,188.4,206.0,91,225,5,-3.0,-5.8,-6.9,7.4,OVC,52.5,41.0,192,55.9,6.1
192,Loyola Marymount,40.6,199.4,199.0,175,213,5,-4.6,-4.6,-6.1,-2.5,WCC,55.8,39.3,193,15.1,1.3
193,Coastal Carolina,40.4,222.8,221.0,129,316,5,-7.4,-6.3,-21.9,3.7,Sun Belt,62.8,36.0,194,66.2,9.2
194,Eastern Kentucky,40.4,210.4,191.0,179,260,5,-6.1,-4.2,-9.8,-3.7,A-Sun,59.1,37.5,195,34.0,2.9
195,Florida International,40.1,202.0,200.0,175,246,5,-5.0,-3.3,-9.1,-3.0,CUSA,56.6,38.8,196,29.8,2.7
196,Central Arkansas,39.8,218.6,185.0,165,316,5,-7.5,-4.2,-16.8,-1.8,A-Sun,61.5,35.7,197,67.5,6.9
197,Wofford,39.8,213.4,196.0,189,253,5,-6.4,-4.5,-11.5,-4.4,Southern,59.9,37.1,198,28.1,3.1
198,UC San Diego,39.7,210.2,223.0,177,223,5,-5.7,-6.5,-8.0,-3.3,Big West,59.0,38.0,199,20.1,2.0
199,Appalachian State,39.7,209.6,230.0,172,242,5,-6.0,-6.5,-9.9,-2.7,Sun Belt,58.8,37.6,200,34.6,3.2
200,Bucknell,39.7,186.8,197.0,71,268,5,-3.2,-4.9,-12.2,10.8,Patriot,52.0,40.8,201,86.5,9.9
201,Northern Kentucky,39.5,191.6,226.0,116,239,5,-3.8,-7.3,-8.6,3.7,Horizon,53.4,40.1,202,54.7,5.5
202,UC Santa Barbara,39.4,205.6,215.0,185,215,5,-5.0,-5.7,-6.5,-2.5,Big West,57.6,38.7,203,13.7,1.5
203,Austin Peay,39.2,199.4,197.0,168,258,5,-4.6,-4.5,-10.0,-1.8,A-Sun,55.8,39.2,204,35.1,3.3
204,Campbell,39.0,220.0,218.0,167,254,5,-6.8,-5.9,-11.8,-1.9,CAA,61.8,36.7,205,33.5,3.7
205,UC Riverside,38.9,208.0,208.0,193,229,5,-5.2,-5.0,-7.9,-3.0,Big West,58.3,38.5,206,13.2,1.8
206,UTEP,38.8,199.4,219.0,136,245,5,-4.4,-5.9,-9.0,0.8,CUSA,55.7,39.4,207,42.8,3.9
207,Florida Atlantic,38.7,210.4,200.0,173,265,5,-5.7,-4.6,-10.4,-2.5,AAC,58.9,37.8,208,33.9,3.0
208,Georgia Southern,38.3,216.2,222.0,187,247,5,-6.3,-6.3,-10.5,-2.6,Sun Belt,60.7,37.3,209,22.6,2.8
209,Milwaukee,38.3,195.0,205.0,82,286,5,-3.3,-4.9,-12.6,9.2,Horizon,54.3,40.7,210,72.9,7.9
210,Quinnipiac,38.1,215.8,216.0,134,290,5,-6.3,-7.1,-13.8,2.8,MAAC,60.5,37.2,211,74.4,7.8
211,Cal Poly,38.1,211.6,169.0,166,297,5,-6.1,-2.4,-13.8,-2.0,Big West,59.2,37.4,212,61.4,5.4
212,Louisiana-Monroe,38.0,233.0,205.0,145,341,5,-10.1,-5.7,-24.9,1.1,Sun Belt,65.7,32.6,213,96.4,12.6
213,Eastern Illinois,38.0,212.8,194.0,172,254,5,-6.2,-4.4,-10.3,-2.8,OVC,59.6,37.3,214,38.5,3.8
214,Southern Illinois,37.7,191.8,194.0,89,334,5,-4.1,-4.3,-19.4,7.9,MVC,53.5,39.8,215,90.4,9.9
215,Jacksonville State,37.2,206.8,223.0,137,249,5,-5.4,-6.9,-9.5,0.7,CUSA,57.7,38.2,216,49.1,4.6
216,UNC Greensboro,37.1,234.6,220.0,159,295,5,-8.5,-6.2,-15.5,-0.9,Southern,66.0,34.5,217,54.2,6.0
217,Georgia State,37.0,226.8,208.0,201,283,5,-7.4,-6.1,-11.7,-4.7,Sun Belt,63.7,35.8,218,35.5,3.2
218,Brown,36.9,209.0,172.0,163,329,4,-6.3,-2.6,-18.7,-1.4,Ivy,58.1,35.8,219,80.4,8.3
219,Southern Indiana,36.8,155.3,154.0,154,158,3,-0.2,0.0,-0.6,0.0,OVC,42.9,41.3,220,2.3,0.4
220,Little Rock,36.8,213.6,232.0,170,238,5,-6.1,-8.0,-8.5,-1.0,OVC,59.8,37.4,221,29.5,3.2
221,Texas A&M-Corpus Christi,36.8,230.6,241.0,168,319,5,-9.1,-8.7,-22.5,-2.3,Southland,64.9,33.9,222,64.1,8.2
222,Northern Illinois,36.4,207.0,242.0,123,251,5,-5.4,-8.8,-9.8,2.4,MAC,57.7,38.1,223,58.5,5.7
223,Mercer,36.1,205.2,204.0,142,315,5,-5.4,-4.8,-17.3,1.7,Southern,57.3,38.2,224,67.1,7.2
224,Western Michigan,36.1,213.8,237.0,160,251,5,-6.1,-8.6,-9.5,-0.1,MAC,59.8,37.3,225,39.5,4.1
225,Southern,36.0,230.0,227.0,193,284,5,-7.7,-7.3,-12.0,-4.7,SWAC,64.5,35.3,226,33.3,2.6
226,Howard,35.8,232.6,230.0,186,280,5,-8.1,-7.7,-11.6,-4.2,MEAC,65.3,34.9,227,33.4,2.7
227,Miami (OH),35.8,228.6,212.0,149,287,5,-7.4,-6.1,-13.6,0.6,MAC,64.1,35.7,228,58.9,6.2
228,Monmouth,35.7,236.0,262.0,161,325,5,-9.6,-10.4,-24.4,-1.4,CAA,66.4,33.2,229,72.6,9.4
229,Texas State,35.5,226.2,217.0,210,254,5,-7.0,-7.3,-9.6,-5.1,Sun Belt,63.4,36.2,230,19.8,1.9
230,Lipscomb,35.4,236.8,217.0,202,287,5,-8.6,-5.7,-12.9,-5.5,A-Sun,66.5,34.4,231,35.7,4.0
231,Colgate,35.4,247.0,213.0,161,333,5,-11.2,-5.5,-27.2,-1.0,Patriot,69.6,31.2,232,73.7,10.7
232,IU Indy,35.4,197.8,281.0,62,289,5,-3.2,-12.9,-13.1,12.3,Horizon,54.9,40.7,233,117.7,13.5
233,Western Illinois,34.7,229.6,228.0,213,243,5,-7.6,-6.8,-9.3,-6.2,OVC,64.3,35.4,234,13.3,1.6
234,Wright State,34.6,216.2,195.0,88,304,5,-6.0,-4.5,-14.7,8.2,Horizon,60.3,37.3,235,89.3,9.4
235,Youngstown State,34.6,214.0,231.0,152,295,5,-6.2,-7.9,-13.9,-0.3,Horizon,59.8,37.2,236,58.7,5.7
236,William & Mary,34.0,235.8,233.0,190,292,5,-8.3,-8.7,-13.3,-4.1,CAA,66.1,34.6,237,47.0,4.2
237,Utah Valley,33.9,232.2,222.0,183,284,5,-8.2,-7.5,-13.4,-2.4,WAC,65.1,34.7,238,49.6,5.1
238,East Tennessee State,33.7,249.4,212.0,201,332,5,-10.6,-5.5,-19.2,-5.2,Southern,70.1,31.9,239,58.3,7.2
239,Kansas City,33.6,222.4,260.0,131,267,5,-7.1,-10.9,-11.2,2.4,Summit,62.2,36.0,240,59.1,6.0
240,Akron,33.4,224.8,246.0,150,282,5,-7.1,-9.4,-12.4,0.5,MAC,62.9,36.0,241,50.9,5.0
241,Boston University,33.3,220.2,240.0,153,294,5,-6.9,-9.0,-13.9,-0.8,Patriot,61.5,36.2,242,56.7,5.5
242,Manhattan,33.1,237.2,245.0,199,257,5,-8.6,-10.4,-10.8,-3.3,MAAC,66.5,34.2,243,24.4,3.2
243,Valparaiso,32.9,226.8,218.0,114,296,5,-7.2,-6.1,-14.1,3.9,MVC,63.3,35.7,244,75.3,7.4
244,Denver,32.3,240.6,252.0,210,254,5,-8.7,-9.4,-9.8,-6.0,Summit,67.4,34.1,245,18.8,1.6
245,Xavier,31.9,240.8,225.0,199,288,5,-8.8,-6.2,-13.6,-4.8,Big East,67.4,33.9,246,44.2,4.4
246,Tarleton State,31.7,256.0,277.0,166,287,5,-11.0,-12.7,-17.3,-1.8,WAC,71.9,31.3,247,50.6,5.7
247,Stetson,31.7,239.6,248.0,167,280,5,-8.8,-9.5,-12.3,-0.8,A-Sun,67.2,34.0,248,42.7,4.6
248,Indiana State,31.6,242.2,245.0,196,273,5,-9.0,-9.4,-11.5,-3.1,MVC,67.9,33.8,249,28.3,3.4
249,Bradley,31.5,231.8,242.0,83,322,5,-7.6,-8.2,-17.3,9.0,MVC,64.6,35.1,250,100.3,10.9
250,Siena,31.4,255.0,261.0,216,305,5,-10.5,-10.4,-19.7,-5.7,MAAC,71.7,32.0,251,38.9,5.7
251,High Point,31.4,246.8,253.0,213,269,5,-9.8,-9.3,-12.2,-6.5,Big South,69.2,32.7,252,24.7,2.5
252,St. Thomas,31.2,238.2,233.0,187,300,4,-8.8,-8.2,-14.3,-4.3,Summit,66.2,32.6,253,46.5,4.2
253,Ohio,31.1,217.6,263.0,95,331,5,-6.6,-11.6,-19.1,6.8,MAC,60.6,36.4,254,98.3,10.8
254,Sacramento State,31.1,250.2,270.0,216,274,5,-10.2,-12.5,-14.2,-5.5,Big Sky,70.2,32.2,255,30.8,3.9
255,Central Michigan,30.8,237.0,262.0,92,318,5,-8.2,-10.2,-16.6,7.2,MAC,66.1,34.4,256,95.6,9.9
256,Incarnate Word,30.7,261.0,229.0,225,314,5,-12.0,-7.6,-20.2,-7.5,Southland,73.4,30.2,257,45.7,6.1
257,Jacksonville,30.6,257.2,253.0,233,310,5,-11.2,-10.0,-20.5,-7.4,A-Sun,72.3,31.1,258,30.9,5.3
258,Oakland,30.3,239.0,250.0,182,303,5,-8.5,-9.6,-15.0,-3.4,Horizon,66.8,34.3,259,45.9,4.6
259,La Salle,30.3,239.0,278.0,148,283,5,-8.6,-12.4,-12.8,0.7,A-10,66.9,34.1,260,59.6,6.0
260,North Dakota,30.2,249.2,222.0,215,294,5,-9.6,-7.5,-14.1,-5.4,Summit,69.8,33.0,261,41.0,4.2
261,Kennesaw State,30.2,259.6,258.0,219,296,5,-11.5,-10.8,-18.9,-6.7,A-Sun,73.0,30.7,262,27.5,4.5
262,Elon,30.0,240.4,264.0,167,291,5,-8.6,-10.5,-13.8,-2.0,CAA,67.2,34.1,263,58.5,5.8
263,Weber State,29.9,256.6,267.0,224,294,5,-11.4,-12.1,-18.6,-6.0,Big Sky,72.1,30.9,264,28.9,4.9
264,Samford,29.8,244.6,256.0,172,281,5,-9.1,-10.7,-12.3,-2.4,Southern,68.4,33.4,265,41.9,3.9
265,Southern Utah,29.6,242.4,273.0,181,290,5,-9.0,-12.5,-13.0,-2.2,WAC,67.8,33.7,266,50.4,5.1
266,Omaha,29.3,249.0,252.0,189,285,5,-9.5,-9.5,-13.4,-4.1,Summit,69.7,33.0,267,40.1,4.1
267,Army,29.2,263.6,278.0,178,307,5,-11.7,-15.3,-15.4,-3.5,Patriot,74.0,30.4,268,53.7,5.4
268,Sam Houston,29.2,249.8,251.0,178,286,5,-9.6,-9.2,-13.4,-2.9,CUSA,69.9,32.8,269,44.1,4.3
269,Coppin State,29.0,269.2,259.0,212,334,5,-13.5,-11.1,-27.4,-6.3,MEAC,75.7,28.3,270,44.3,8.1
270,Mount St. Mary's,28.9,257.0,270.0,201,297,5,-10.2,-10.6,-14.3,-5.0,MAAC,72.0,32.1,271,44.4,4.3
271,Alabama A&M,28.8,259.8,270.0,229,294,5,-11.0,-12.2,-13.6,-8.3,SWAC,72.8,31.2,272,26.9,2.5
272,Binghamton,28.6,264.8,271.0,236,292,5,-12.0,-11.2,-18.4,-8.6,AEC,74.4,30.1,273,27.5,4.1
273,Cal State Fullerton,28.2,254.0,244.0,220,314,5,-10.5,-9.4,-17.1,-5.9,Big West,71.2,31.8,274,35.3,4.1
274,Grambling,28.0,264.4,259.0,235,305,5,-11.4,-12.7,-14.8,-8.4,SWAC,74.2,30.7,275,31.5,2.9
275,San Jose State,27.8,258.0,262.0,183,311,5,-10.8,-11.5,-16.2,-3.4,MWC,72.2,31.3,276,46.5,4.6
276,Furman,27.7,263.8,263.0,256,272,5,-11.3,-12.0,-12.3,-9.4,Southern,74.0,30.8,277,8.0,1.3
277,Maryland-Eastern Shore,27.4,257.0,239.0,230,320,4,-10.8,-8.9,-17.4,-7.9,MEAC,71.5,30.0,278,42.2,4.4
278,Detroit Mercy,27.2,270.8,271.0,242,324,5,-12.5,-11.6,-17.9,-9.2,Horizon,76.0,29.4,279,33.6,3.7
279,Texas-Rio Grande Valley,26.5,273.6,293.0,227,301,5,-12.9,-14.8,-18.6,-7.7,WAC,76.8,28.9,280,34.7,4.6
280,Yale,26.4,243.8,238.0,179,320,4,-9.3,-8.7,-17.7,-2.0,Ivy,67.6,32.0,281,57.9,6.5
281,Sacred Heart,26.4,273.8,286.0,228,327,5,-13.1,-14.6,-18.5,-7.6,NEC,76.9,28.7,282,44.3,5.2
282,FDU,26.1,274.8,272.0,200,326,5,-12.9,-14.7,-17.8,-5.1,NEC,77.1,28.8,283,53.5,5.6
283,Navy,26.1,277.6,299.0,209,308,5,-12.8,-14.3,-15.3,-6.1,Patriot,77.9,28.9,284,42.4,3.9
284,North Alabama,26.0,271.4,275.0,260,279,5,-12.1,-12.5,-12.8,-10.5,A-Sun,76.1,29.9,285,7.5,0.9
285,Nicholls State,26.0,281.6,271.0,218,346,5,-14.9,-12.3,-24.1,-6.6,Southland,79.1,26.4,286,47.0,6.9
286,Utah Tech,25.8,277.4,308.0,209,339,5,-14.9,-15.2,-30.8,-5.1,WAC,78.0,26.7,287,63.4,10.7
287,Pepperdine,25.6,266.2,266.0,207,316,5,-11.0,-10.8,-16.2,-5.7,WCC,74.5,31.0,288,50.2,5.1
288,Robert Morris,24.9,270.8,249.0,204,327,5,-11.9,-9.2,-17.9,-5.4,Horizon,75.8,29.9,289,54.4,5.7
289,Cornell,24.7,269.2,261.0,253,302,4,-11.7,-11.4,-14.4,-9.5,Ivy,74.9,28.9,290,22.2,2.0
290,Arkansas-Pine Bluff,24.6,274.8,285.0,206,351,5,-14.6,-12.0,-26.5,-4.9,SWAC,77.2,26.9,291,67.1,10.4
291,Niagara,24.3,271.6,269.0,214,358,5,-14.0,-10.6,-28.6,-5.6,MAAC,76.3,27.5,292,61.4,10.0
292,Loyola (MD),24.2,282.2,284.0,264,307,5,-13.8,-13.9,-16.6,-11.6,Patriot,79.2,27.8,293,18.6,2.2
293,Northwestern State,23.9,290.6,279.0,224,343,5,-18.7,-12.9,-42.2,-6.9,Southland,81.8,22.0,294,47.0,13.8
294,St. Bonaventure,23.8,270.6,283.0,228,327,5,-12.1,-13.4,-18.8,-6.9,A-10,75.8,29.7,295,41.2,4.7
295,Eastern Michigan,23.7,261.0,315.0,121,318,5,-10.9,-16.2,-17.4,2.4,MAC,72.8,31.0,296,85.6,8.5
296,Hofstra,23.6,283.0,298.0,243,299,5,-13.0,-14.2,-14.5,-10.0,CAA,79.3,28.7,297,24.4,2.0
297,Morehead State,23.0,282.8,251.0,247,348,5,-14.6,-11.4,-24.8,-9.4,OVC,79.3,26.6,298,48.2,6.7
298,Marist,22.5,279.6,291.0,176,331,5,-12.8,-13.2,-18.3,-2.7,MAAC,78.2,28.8,299,63.8,6.4
299,North Florida,22.3,274.8,292.0,219,339,5,-12.8,-13.9,-21.8,-5.7,A-Sun,76.9,28.8,300,49.1,6.2
300,Bryant,22.1,298.6,282.0,265,336,5,-16.5,-13.2,-24.9,-10.7,AEC,83.9,24.4,301,31.4,6.0
301,American,21.6,272.4,298.0,190,349,5,-13.2,-14.3,-26.2,-2.8,Patriot,76.2,28.3,302,63.3,8.7
302,Longwood,21.5,287.0,276.0,212,344,5,-14.8,-15.2,-22.0,-4.8,Big South,80.5,26.3,303,57.1,7.5
303,Cal State Bakersfield,21.3,276.2,295.0,193,343,5,-13.1,-14.1,-23.4,-4.6,Big West,77.2,28.3,304,56.0,6.9
304,Bellarmine,21.3,302.4,311.0,244,335,5,-16.3,-15.7,-20.9,-9.0,A-Sun,84.9,24.5,305,34.3,4.8
305,Southeast Missouri State,21.2,277.6,293.0,149,335,5,-13.2,-14.0,-20.0,-0.7,OVC,77.6,28.2,306,74.1,7.4
306,NJIT,21.2,298.6,304.0,278,309,5,-15.2,-15.6,-19.6,-11.9,AEC,83.8,25.9,307,13.2,2.9
307,Lafayette,20.7,286.6,310.0,215,321,5,-13.6,-16.4,-17.2,-6.6,Patriot,80.2,27.8,308,46.0,4.8
308,Northeastern,20.5,276.2,304.0,209,353,5,-13.5,-15.1,-26.6,-4.7,CAA,77.3,27.9,309,63.7,8.8
309,Tennessee State,20.5,299.6,305.0,259,327,5,-15.9,-15.2,-24.4,-9.8,OVC,84.1,25.2,310,24.8,5.3
310,Utah State,20.3,292.0,285.0,235,341,5,-14.6,-12.5,-20.6,-7.1,MWC,81.8,26.5,311,48.1,5.9
311,Lindenwood,20.0,274.0,324.0,174,324,3,-12.6,-17.4,-17.4,-2.9,OVC,76.0,25.3,312,86.6,8.4
312,New Orleans,19.4,307.6,301.0,280,345,5,-18.1,-14.7,-25.8,-13.1,Southland,86.4,22.4,313,29.8,6.2
313,South Alabama,19.3,301.4,303.0,268,322,5,-15.6,-15.1,-17.6,-13.6,Sun Belt,84.5,25.4,314,20.2,1.6
314,Canisius,19.2,305.2,326.0,265,341,5,-18.6,-18.2,-32.1,-11.8,MAAC,85.8,21.9,315,37.1,8.3
315,Portland State,19.1,302.0,312.0,249,330,5,-15.3,-15.9,-18.8,-10.8,Big Sky,84.6,25.7,316,30.9,2.9
316,Iona,18.9,303.6,312.0,272,317,5,-15.9,-16.4,-19.4,-10.7,MAAC,85.2,25.0,317,19.0,3.2
317,Bethune-Cookman,18.8,295.0,291.5,255,342,4,-15.6,-14.7,-22.6,-10.6,SWAC,82.0,23.8,318,46.5,6.0
318,New Hampshire,18.8,310.0,305.0,300,325,5,-17.0,-15.2,-22.5,-14.7,AEC,87.1,23.7,319,11.7,3.4
319,Seattle,18.5,297.6,302.0,267,342,5,-15.5,-15.0,-23.0,-11.1,WAC,83.4,25.4,320,29.4,4.5
320,Maryland-Baltimore County,18.3,312.0,306.0,296,340,5,-17.5,-15.3,-21.8,-14.1,AEC,87.6,23.1,321,16.7,3.6
321,SIU Edwardsville,18.3,300.4,323.0,241,328,5,-15.8,-18.0,-18.5,-8.0,OVC,84.2,25.1,322,38.4,4.4
322,Merrimack,17.6,313.6,319.0,284,335,5,-17.2,-18.7,-18.9,-12.4,NEC,88.0,23.4,323,23.3,2.8
323,Evansville,17.4,308.6,306.0,278,339,5,-16.4,-15.8,-19.9,-11.3,MVC,86.5,24.3,324,29.8,3.6
324,Morgan State,17.0,307.8,325.0,269,332,5,-16.3,-18.4,-18.7,-11.6,MEAC,86.3,24.5,325,30.4,3.2
325,Massachusetts-Lowell,16.3,305.2,329.0,238,340,5,-16.3,-18.2,-22.1,-9.7,AEC,85.5,24.4,326,42.1,4.9
326,East Texas A&M,16.3,287.0,276.0,276,309,3,-13.8,-12.6,-16.1,-12.6,Southland,79.5,23.8,327,19.1,2.0
327,Radford,16.1,320.6,313.0,313,343,5,-18.8,-16.7,-22.6,-16.1,Big South,90.0,21.4,328,13.0,3.5
328,Texas Southern,15.7,318.8,309.0,293,343,5,-18.6,-20.3,-21.8,-13.9,SWAC,89.5,21.7,329,22.9,3.9
329,Saint Peter's,15.7,313.8,308.0,276,347,5,-18.0,-18.1,-22.7,-11.2,MAAC,88.0,22.3,330,32.4,4.9
330,Presbyterian,15.2,312.2,310.0,277,352,5,-17.9,-15.6,-26.5,-15.4,Big South,87.5,22.4,331,26.6,4.8
331,Alcorn State,15.0,322.0,314.0,313,353,5,-20.1,-17.4,-30.1,-16.1,SWAC,90.4,19.7,332,17.4,5.9
332,Dartmouth,14.8,320.8,320.0,304,339,4,-17.5,-16.8,-21.3,-15.1,Ivy,89.2,21.4,333,14.3,2.7
333,Rider,14.6,318.8,336.0,288,337,5,-18.2,-19.3,-20.3,-13.2,MAAC,89.4,22.1,334,24.2,2.9
334,UNC Wilmington,14.5,319.2,331.0,274,352,5,-19.6,-18.8,-25.6,-12.8,CAA,89.5,20.2,335,36.6,5.9
335,Florida A&M,14.4,321.5,319.0,297,351,4,-19.2,-16.6,-29.3,-14.2,SWAC,89.4,19.3,336,22.2,6.8
336,Western Carolina,14.4,326.4,344.0,277,348,5,-20.6,-22.9,-23.6,-11.8,Southern,91.6,19.1,337,30.9,5.0
337,South Carolina Upstate,14.3,316.6,323.0,252,354,5,-19.2,-17.4,-26.8,-9.3,Big South,88.9,20.9,338,38.3,7.1
338,Hampton,14.2,326.4,330.0,309,338,5,-19.6,-19.8,-25.3,-15.8,CAA,91.6,20.4,339,13.0,3.6
339,Gardner-Webb,14.0,317.2,326.0,261,349,5,-19.3,-19.4,-24.1,-10.1,Big South,89.0,20.7,340,37.2,5.7
340,Houston Christian,13.7,321.2,332.0,286,345,5,-19.1,-19.2,-22.3,-12.6,Southland,90.1,20.9,341,27.5,3.9
341,Cal State Northridge,13.2,311.8,330.0,239,348,4,-17.7,-18.3,-26.0,-7.9,Big West,86.6,21.2,342,49.2,7.4
342,Charleston Southern,12.8,332.0,325.0,319,355,5,-22.6,-17.6,-32.2,-17.5,Big South,93.3,16.7,343,14.2,7.1
343,Prairie View,11.5,333.8,334.0,318,345,5,-21.0,-21.2,-24.2,-18.7,SWAC,93.7,18.6,344,9.9,2.4
344,North Carolina Central,11.2,334.8,333.0,317,347,5,-21.6,-22.2,-24.6,-18.6,MEAC,94.0,17.8,345,11.8,2.9
345,Le Moyne,11.1,311.0,289.0,289,355,3,-18.2,-13.6,-27.2,-13.6,NEC,86.2,18.2,346,38.1,7.8
346,Central Connecticut State,10.9,336.6,338.0,324,342,5,-21.9,-21.5,-24.3,-21.1,NEC,94.5,17.4,347,7.4,1.3
347,Winthrop,10.9,339.2,337.0,330,352,5,-23.6,-19.3,-31.0,-19.1,Big South,95.3,15.4,348,8.0,6.0
348,Alabama State,10.4,315.4,355.0,209,357,5,-20.7,-27.7,-27.8,-6.0,SWAC,88.2,18.6,349,64.0,10.1
349,UNC Asheville,9.7,338.4,340.0,322,356,5,-22.4,-20.4,-27.5,-20.0,Big South,95.0,16.9,350,12.3,3.3
350,McNeese State,9.4,339.4,335.0,321,354,5,-23.8,-27.2,-27.7,-17.6,Southland,95.3,15.1,351,14.4,4.9
351,Wagner,8.7,325.0,356.0,274,359,5,-23.0,-29.3,-29.8,-10.8,NEC,91.1,15.8,352,43.9,9.2
352,Queens (NC),7.9,338.7,346.0,324,346,3,-21.3,-22.7,-22.7,-18.6,A-Sun,93.9,14.1,353,12.7,2.4
353,Long Island University,7.6,336.4,353.0,299,360,5,-23.9,-26.8,-29.6,-17.1,NEC,94.3,14.8,354,26.8,5.4
354,Mississippi Valley State,7.5,346.6,349.0,337,350,5,-25.4,-24.7,-28.4,-24.2,SWAC,97.3,13.1,355,5.5,1.8
355,Saint Francis (PA),6.9,333.8,350.0,266,360,5,-24.8,-26.3,-32.3,-13.5,NEC,93.5,13.5,356,39.5,8.2
356,St. Francis (NY),6.6,285.5,285.5,264,307,2,-15.2,-15.2,-20.1,-10.3,NEC,81.8,32.0,357,30.4,6.9
357,West Georgia,6.5,291.0,291.0,291,291,1,-13.6,-13.6,-13.6,-13.6,A-Sun,80.3,23.9,358,,
358,Chicago State,6.5,342.4,346.0,310,359,5,-26.7,-29.4,-31.6,-16.2,Ind,96.1,11.4,359,20.2,6.5
359,Delaware State,4.3,346.8,351.0,314,362,5,-28.7,-25.1,-40.0,-21.2,MEAC,97.3,8.7,360,18.9,7.4
360,Stonehill,4.1,350.7,358.0,336,358,3,-26.8,-30.2,-30.2,-20.1,NEC,97.2,7.0,361,12.7,5.8
361,Hartford,2.8,336.5,336.5,323,350,2,-24.9,-24.9,-25.8,-24.0,AEC,96.2,19.8,362,19.1,1.3
362,Mercyhurst,2.7,341.0,341.0,341,341,1,-22.9,-22.9,-22.9,-22.9,NEC,94.2,11.9,363,,
363,South Carolina State,2.0,354.2,357.0,342,361,5,-32.7,-31.3,-40.7,-29.9,MEAC,99.4,4.0,364,7.3,4.6
