Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country,Composite Score
Emme Shearer,Spot Up Shooting Wing,600.0,2018,4.0,0.786,WCC,Portland,24-25,17.0,New Zealand,0.862
Jasmine Bascoe,Secondary Ball Handler,507.0,2022,7.0,0.721,Big East,Villanova,24-25,16.0,Canada,0.834
Skylar Forbes,Spot Up Shooting Wing,603.0,2022,6.0,0.737,Big East,Marquette,24-25,16.0,Canada,0.834
Tyana Todd,Dynamic Shooting Wing,600.0,2022,15.0,1.1,ACC,Boston College,24-25,14.0,Canada,0.829
 Tess Heal,Slashing Wing,510.0,2022,7.0,0.897,WCC,Santa Clara,24-25,20.0,Australia,0.826
Matilda Ekh,Playmaking Wing,602.0,2019,14.8,0.94,ACC,Virginia,24-25,12.0,Sweden,0.773
Sophie Burrows,Spot Up Shooting Wing,602.0,2022,9.0,1.314,ACC,Syracuse,24-25,12.0,Australia,0.773
Keishana Washington,Secondary Ball Handler,507.0,2018,7.0,0.87,CAA,Drexel,22-23,28.0,Canada,0.77
Nyara Sabally,Slashing Wing,605.0,2018,12.0,0.935,PAC12,Oregon,21-22,15.0,Germany,0.737
Praise Egharevba,-,603.0,2021,4.0,0.75,Big 12,Oklahoma,25-26,,Germany,0.725
Ioanna Chatzileonti,Playmaking Big,602.0,2019,11.0,0.624,Big 12,Kansas,21-22,10.0,Greece,0.718
Freja Werth,Spot-up shooting wing,601.0,2019,5.1,0.7,WCC,USF,24-25,17.0,Sweden,0.712
 Ioanna Krimili,Scoring Ball Handler,510.0,2019,17.0,0.928,ACC,Cal,24-25,14.0,Greece,0.709
Miela Goodchild,Spot Up Shooting Wing,510.0,2018,18.0,0.862,ACC,Duke,19-20,7.0,Australia,0.694
Sam Simons,Playmaking Wing,602.0,2018,6.0,0.548,WCC,Saint Mary's,19-20,16.0,Australia,0.684
Tilda Trygger,Playmaking Big,606.0,2023,16.0,0.86,ACC,NC State,24-25,6.6,Sweden,0.683
Jaz Shelley,Secondary Ball Handler,509.0,2018,9.0,0.602,BIG 10,Nebraska,23-24,13.0,Australia,0.681
Mary-Anna Asare,Secondary Ball Handler,508.0,2022,9.0,0.709,A10,VCU,24-25,16.0,Canada,0.674
Caterina Piatti,Post-Up Big,604.0,2023,7.0,0.662,ACC,Florida,25-26,,Italy,0.673
Lara Somfai,Slashing Wing,604.0,2024,17.0,0.904,ACC,Stanford,25-26,,Australia,0.673
Christina Morra,Post Up Big,602.0,2018,15.0,0.946,ACC,Wake Forest,21-22,9.4,Canada,0.671
Stina Almqvist,Slashing Wing,601.0,2019,7.3,0.59,Ivy,Pennsylvannia,24-25,18.0,Sweden,0.66
Tova Sabel,Slashing Wing,511.0,2018,10.0,0.84,Big West,UC Davis,24-25,15.0,Sweden,0.647
Eleonora Villa,Dynamic Shooting Wing,508.0,2022,7.0,0.788,WCC,WSU,24-25,14.0,Italy,0.629
Agnes Emma-Nnopu,Rim Finishing Big,511.0,2018,9.0,0.883,PAC12,Stanford,23-24,11.0,Australia,0.626
Kobe King Hawea,-,511.0,2018,2.0,0.917,Big 12,Texas,21-22,4.0,Australia,0.611
Edessa Noyan,Post-up Big,603.0,2022,8.9,0.83,ACC,Virginia,24-25,6.0,Sweden,0.607
Niyah Becker,Stretch Big,602.0,2018,7.0,0.661,ACC,Wake Forest,21-22,7.0,Canada,0.604
Emily Bessoir,Dynamic Shooting Wing,604.0,2019,12.0,0.838,PAC12,UCLA,22-23,9.0,Germany,0.6
Carly Ahlstrom,Spot Up Shooting Wing,600.0,2018,7.0,0.635,Canada,University of Sasketwechan,22-23,20.0,Canada,0.588
Karla Erjavec,Slashing Wing,510.0,2017,15.0,0.938,MW,Wyoming,21-22,7.0,Croatia,0.584
Danielle Arigbabu,-,604.0,2018,5.0,1.063,Big 12,West Virginia,23-24,3.0,Germany,0.583
Emma Koabel,Dynamic Shooting Wing,511.0,2022,10.0,0.886,ACC,Duke,23-24,3.0,Canada,0.583
Charlisse Leger-Walker,Secondary Ball Handler,510.0,2018,14.0,0.742,PAC12,WSU,22-23,18.0,New Zealand,0.58
Sanna Strom,Playmaking Wing,600.0,2019,7.5,0.8,MW,Colorado St.,24-25,6.6,Sweden,0.573
Emma Clarke,Stretch Big,601.0,2018,7.0,0.717,PAC12,Colorado,19-20,10.0,Australia,0.568
Bonnie Deas,Slashing Wing,509.0,2024,14.0,1.02,SEC,Arkansas,25-26,,Australia,0.568
Fatima Diakhate,Post Up Big,605.0,2022,10.0,0.838,SEC,Georgia,24-25,5.0,Canada,0.549
Isabel Palmer,Secondary Ball Handler,509.0,2018,9.0,0.691,PAC12,Utah,22-23,8.0,Australia,0.542
Elea Gaba,Post-Up Big,603.0,2019,7.0,0.688,MAC,Buffalo,20-21,7.0,Germany,0.534
Tayla Dalton,Playmaking Wing,509.0,2018,7.0,0.814,WCC,Gonzaga,24-25,5.0,New Zealand,0.529
Isla Juffermans,Rim Finishing Big,604.0,2022,17.0,1.09,ACC,Louisville,24-25,2.0,Australia,0.526
Mailien Rolf,Playmaking Wing,510.0,2023,10.0,0.74,Big 12,Arizona,24-25,3.0,Germany,0.523
Frieda Buhner,Stretch Big,,2022,12.0,0.739,ACC,Florida,22-23,1.5,Germany,0.512
Lilly Parke,Slashing Wing,602.0,2022,8.0,0.6,NEC,FDU,24-25,10.0,New Zealand,0.508
Sofia Kelemeni,Dynamic Shooting Wing,600.0,2022,7.0,0.515,MW,SJSU,24-25,9.0,Greece,0.49
 Taya Hanson,Dynamic Shooting Wing,511.0,2018,10.0,0.667,PAC12,Oregon,22-23,6.0,Canada,0.487
Lemyah Hylton,Playmaking Wing,511.0,2022,8.0,0.533,ACC,Miami,23-24,6.0,Canada,0.487
Jessica Petrie,Spot Up Shooting Wing,602.0,2022,6.0,0.795,BIG 10,Nebraska,24-25,6.0,Australia,0.487
Sofia Persson,Dynamic Shooting Wing,508.0,2018,4.0,0.449,ASUN,FGCU,23-24,7.0,Sweden,0.484
Florence Dallow,Slashing Wing,602.0,2022,8.0,0.58,WCC,Portland,24-25,3.0,New Zealand,0.473
Lydia Chatira,Playmaking Ball Handler,600.0,2023,10.0,0.789,Ivy,Harvard,25-26,,Greece,0.471
Hilke Feldrappe,Stretch Big,603.0,2022,5.0,0.515,SEC,Missouri,24-25,1.0,Germany,0.468
Angeliki Ziaka,Playmaking Big,600.0,2023,10.0,0.816,WCC,USF,24-25,8.0,Greece,0.462
Petra Bozan,Post Up Big,603.0,2023,12.0,0.888,BIG 10,Nebraska,24-25,5.0,Croatia,0.459
Cheyenne Rowe,Playmaking Big,602.0,2022,4.0,0.96,AAC,UTSA,24-25,6.0,Canada,0.457
Precious Johnson,Post-up Big,604.0,2018,7.0,0.64,A10,Duquesne,23-24,7.0,Sweden,0.454
Silvia Nativi,Playmaking Wing,600.0,2019,3.0,0.544,CUSA,Louisiana Tech,23-24,6.0,Italy,0.447
Marta Savic,Post Up Big,601.0,2019,7.0,0.75,MW,Wyoming,23-24,2.0,Croatia,0.446
Lova Lagerlid,Slashing Wing,600.0,2023,5.1,0.75,Big 12,Colorado,24-25,0.0,Sweden,0.44
Nika Muhl,Playmaking Ball Handler,511.0,2018,10.0,0.724,Big East,Uconn,23-24,7.0,Croatia,0.434
Izzy Anstey,Post Up Big,604.0,2018,11.0,0.915,PAC12,UCLA,21-22,3.0,Australia,0.433
Kiandre Browne,Rim Finishing Big,602.0,2018,4.0,0.852,A10,Duquesne,24-25,6.0,Canada,0.427
Summah Hanson,-,603.0,2022,5.0,0.588,Big West,UC Irvine,24-25,7.0,Australia,0.424
Lara Langermann,Playmaking Wing,507.0,2023,4.0,0.608,MW,New Mexico,24-25,3.0,Germany,0.413
Leah Mafua,Secondary Ball Handler,510.0,2018,10.0,0.654,ASUN,Central Arkansas,24-25,12.0,New Zealand,0.413
Marah Dykstra,Playmaking Big,602.0,2022,9.0,0.854,Big Sky,Montana State,24-25,12.0,Canada,0.413
Justina King,Secondary Ball Handler,508.0,2018,6.0,0.692,Big West,Long Beach State,21-22,12.0,Canada,0.413
Tiffany Barbosa,Dynamic Shooting Wing,510.0,2023,18.0,0.85,WCC,Portland,24-25,0.7,Sweden,0.409
Cynthia Ezeja,Post-Up Big,602.0,2019,4.0,0.571,WCC,LMU,23-24,6.0,Greece,0.407
Julia Nystrom,Playmaking Wing,507.0,2019,4.6,0.44,A10,Saint Joseph's,24-25,2.5,Sweden,0.389
Ella Bradley,Slashing Wing,601.0,2018,6.0,0.667,Lone Star,UT Tyler,24-25,11.0,New Zealand,0.386
Georgia Grigoropoulou,Rim Finishing Big,603.0,2021,8.0,0.633,WCC,Santa Clara,24-25,4.0,Greece,0.381
Mia Vuksic,Dynamic Shooting Wing,600.0,2019,12.0,0.832,WCC,USF,24-25,5.0,Croatia,0.379
Ismini Prapa,Scoring Ball Handler,507.0,2019,11.0,0.755,ACC,Pittsburg,19-20,2.0,Greece,0.376
Charlotten Whittaker,Rim Finishing Big,603.0,2018,14.0,1.045,PAC12,Colorado,23-24,3.0,New Zealand,0.373
Sienna Harvey,Scoring Ball Handler,509.0,2024,8.0,0.78,BIG 10,Washington,25-26,,Australia,0.371
Stella Szabo,Playmaking Wing,511.0,2022,6.3,0.52,WCC,Pacific,24-25,1.4,Sweden,0.369
Felicia Dourva,Playmaking Ball Handler,507.0,2018,4.0,0.4,D2,Fresno Pacific,23-24,12.0,Sweden,0.365
Vitolia Tuilave,-,602.0,2022,4.0,0.947,SoCon,Wofford,23-24,3.0,New Zealand,0.363
Alma Elsnitz,Slahing Wing,511.0,2019,8.3,0.74,PAC12,California,23-24,1.5,Sweden,0.362
Ida Jonsson Ojala,Post-up Big,602.0,2019,5.0,0.87,MAC,Buffalo,23-24,0.8,Sweden,0.362
Mihaela Lazic,Playmaking Wing,506.0,2018,10.0,0.694,CUSA,FIU,22-23,5.0,Croatia,0.359
Lina Falk,Playmaking Wing,602.0,2022,8.0,0.639,Big Sky,Sacramento State,24-25,10.0,Germany,0.358
Vittoria Blasigh,Dynamic Shooting Wing,509.0,2022,8.0,0.864,AAC,South Florida,24-25,10.0,Italy,0.358
Anastasia Drosouni,-,511.0,2021,2.0,0.33,ACC,Cal,24-25,1.0,Greece,0.348
Franka Wittenberg,Playmaking Ball Handler,508.0,2021,5.0,0.458,MAAC,Canisius,24-25,8.0,Germany,0.347
Rose Nelson,-,601.0,2022,2.0,0.615,A10,Fordham,23-24,4.0,Australia,0.341
Vanessa Taylor,Slahing Wing,508.0,2018,3.0,0.344,CAA,Elon,23-24,6.0,Sweden,0.337
Mackenzie Chatfield,Playmaking Wing,509.0,2022,8.0,0.494,CUSA,Western Kentucky,24-25,6.0,New Zealand,0.327
Nina Horvath,-,508.0,2022,2.0,0.714,Southland,East Texas A&M,24-25,7.0,Germany,0.319
Jessika Schiffer,Playmaking Wing,509.0,2018,7.0,0.752,MAAC,Rider,23-24,7.0,Germany,0.319
Alice Curman,Playmaking Wing,509.0,2023,3.0,0.66,MVC,SIU,24-25,5.5,Sweden,0.313
Sara Deidda,Spot Up Shooting Wing,,2022,2.0,0.324,SoCon,Wofford,24-25,1.0,Croatia,0.308
Grace Hunter,Playmaking Wing,510.0,2018,4.0,0.5,Big West,CSUB,22-23,8.0,New Zealand,0.302
Lucija Kostic,Playmaking Big,602.0,2018,11.0,0.954,WCC,USF,21-22,2.0,Croatia,0.296
Polyxeni (Zenia) Palaska,Post-Up Big,602.0,2023,5.0,0.681,American East,Vermont,23-24,0.0,Greece,0.29
Shantavia Dawkins,Slashing Wing,508.0,2022,4.0,0.625,A10,Dayton,24-25,2.0,Canada,0.286
Ula Motuga,Rim Finishing Big,602.0,2018,8.0,0.923,PAC12,WSU,22-23,7.0,Australia,0.274
Laura Di Stefano,-,602.0,2022,2.0,0.737,AAC,Tulsa,25-26,,Italy,0.264
Freideriki (Eri) Blithikioti,Secondary Ball Handler,511.0,2023,5.0,0.56,Big West,UC San Diego,24-25,1.0,Greece,0.258
Sara Lundqvist,Stretch Big,602.0,2018,3.0,0.556,D2,Fresno Pacific,22-23,8.0,Sweden,0.254
Miriam Diala,Stretch Big,601.0,2023,3.0,0.447,A10,George Washington,24-25,3.0,Germany,0.253
Kenya Cote Lysius,Playmaking Wing,508.0,2018,3.0,0.615,A10,La Salle,21-22,3.0,Canada,0.253
Anna Maria Prifti,Stretch Big,600.0,2021,4.0,0.429,A10,Saint Louis,21-22,0.6,Greece,0.247
Hana Muhl,Playmaking Wing,508.0,2021,13.0,0.887,MAC,Ball State,23-24,3.0,Croatia,0.243
Lamprini Polymeni,Playmaking Wing,509.0,2021,10.0,0.548,Big Sky,Montana,21-22,0.4,Greece,0.241
Lucija Banovic,Slashing Wing,600.0,2023,15.0,0.839,Ivy,Dartmouth,24-25,2.0,Croatia,0.231
Theoni Tsami,Rim Finishing Big,601.0,2023,5.0,0.56,Big West,UC Davis,24-25,0.0,Greece,0.23
Christina Katsamouri,-,600.0,2018,2.0,0.7,MAAC,Manhattan,22-23,1.5,Greece,0.212
Maddie Morrow,Spot Up Shooting Wing,509.0,2022,4.0,0.88,D2,Art U,24-25,6.0,New Zealand,0.199
Hanna Kajevic,Playmaking Ball Handler,507.0,2023,10.0,0.71,MAC,Cleveland St,25-26,,Sweden,0.182
Rochelle Fourie,Post Up Big,603.0,2018,5.0,0.926,Big West,CSUN,22-23,2.0,New Zealand,0.181
Lovisa Asbrink Hose,Post-up Big,606.0,2022,2.6,0.45,AAC,FAU,24-25,3.4,Sweden,0.174
Olivia Harm,Spot-up shooting wing,601.0,2023,5.3,0.63,Canada,Saskatchewan,24-25,5.0,Sweden,0.171
Paula Graichen,Spot-Up Shooting Wing,604.0,2021,3.0,0.538,D2,Westmont,22-23,5.0,Germany,0.171
Allyah Leusogi-Ape,Playmaking Wing,510.0,2022,8.0,0.93,D2,Grayson,24-25,5.0,New Zealand,0.171
Filippa Goula,Playmaking Ball Handler,507.0,2019,3.0,0.613,Horizon,Cleveland State,24-25,3.0,Greece,0.163
Tonka Jaksic,Playmaking Wing,511.0,2023,5.0,0.561,Lone Star,Eastern New Mexico,24-25,3.0,Croatia,0.163
Clara Rosini,-,510.0,2019,2.0,0.484,Southland,McNeese,22-23,1.0,Italy,0.153
Paula Haw,-,605.0,2022,2.0,0.867,Big Sky,Sacramento State,24-25,1.0,Germany,0.108
Karla Vres,-,603.0,2017,1.0,0.553,BIG 10,Ohio State,23-24,1.0,Croatia,0.108
Roxane Makolo,Slahing Wing,510.0,2018,9.0,0.643,PAC12,USC,23-24,1.0,Canada,0.108
Jyordanna Davey,Stretch Big,600.0,2022,3.0,0.593,D2,Dodge City,23-24,2.0,New Zealand,0.088
Mikela Cooper,Stretch Big,601.0,2022,5.0,0.692,D2,Bentley,24-25,2.0,Greece,0.088
Ioanna Stefanaki,Playmaking Wing,509.0,2023,1.0,0.28,Big Sky,Idaho State,23-24,0.0,Greece,0.08
