Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country
Lydia Chatira,Playmaking Ball Handler,600,2023,10,0.789,Ivy,Harvard,25-26,TBD,Greece
Caterina Piatti,Post-Up Big,604,2023,7,0.662,ACC,Florida,25-26,TBD,Italy
Praise Egharevba,-,603,2021,4,0.75,Big 12,Oklahoma,25-26,TBD,Germany
Laura Di Stefano,-,602,2022,2,0.737,AAC,Tulsa,25-26,TBD,Italy
Bonnie Deas,Slashing Wing,509,2024,14,1.02,SEC,Arkansas,25-26,TBD,Australia
Lara Somfai,Slashing Wing,604,2024,17,0.904,ACC,Stanford,25-26,TBD,Australia
Sienna Harvey,Scoring Ball Handler,509,2024,8,0.78,BIG 10,Washington,25-26,TBD,Australia
Hanna Kajevic,Playmaking Ball Handler,507,2023,10,0.71,MAC,Cleveland St,25-26,TBD,Sweden
Keishana Washington,Secondary Ball Handler,507,2018,7,0.87,CAA,Drexel,22-23,28,Canada
 Tess Heal,Slashing Wing,510,2022,7,0.897,WCC,Santa Clara,24-25,20,Australia
Carly Ahlstrom,Spot Up Shooting Wing,600,2018,7,0.635,Canada,University of Sasketwechan,22-23,20,Canada
Stina Almqvist,Slashing Wing,601,2019,7.3,0.59,Ivy,Pennsylvannia,24-25,18,Sweden
Charlisse Leger-Walker,Secondary Ball Handler,510,2018,14,0.742,PAC12,Washington St.,22-23,18,New Zealand
Freja Werth,Spot Up Shooting Wing,601,2019,5.1,0.7,WCC,USF,24-25,17,Sweden
Emme Shearer,Spot Up Shooting Wing,600,2018,4,0.786,WCC,Portland,24-25,17,New Zealand
Sam Simons,Playmaking Wing,602,2018,6,0.548,WCC,Saint Mary's,19-20,16,Australia
Mary-Anna Asare,Secondary Ball Handler,508,2022,9,0.709,A10,VCU,24-25,16,Canada
Jasmine Bascoe,Secondary Ball Handler,507,2022,7,0.721,Big East,Villanova,24-25,16,Canada
Skylar Forbes,Spot Up Shooting Wing,603,2022,6,0.737,Big East,Marquette,24-25,16,Canada
Nyara Sabally,Slashing Wing,605,2018,12,0.935,PAC12,Oregon,21-22,15,Germany
Tova Sabel,Slashing Wing,511,2018,10,0.84,Big West,UC Davis,24-25,15,Sweden
 Ioanna Krimili,Scoring Ball Handler,510,2019,17,0.928,ACC,Cal,24-25,14,Greece
Eleonora Villa,Dynamic Shooting Wing,508,2022,7,0.788,WCC,Washington St.,24-25,14,Italy
Tyana Todd,Dynamic Shooting Wing,600,2022,15,1.1,ACC,Boston College,24-25,14,Canada
Jaz Shelley,Secondary Ball Handler,509,2018,9,0.602,BIG 10,Nebraska,23-24,13,Australia
Matilda Ekh,Playmaking Wing,602,2019,14.8,0.94,ACC,Virginia,24-25,12,Sweden
Felicia Dourva,Playmaking Ball Handler,507,2018,4,0.4,D2,Fresno Pacific,23-24,12,Sweden
Leah Mafua,Secondary Ball Handler,510,2018,10,0.654,ASUN,Central Arkansas,24-25,12,New Zealand
Sophie Burrows,Spot Up Shooting Wing,602,2022,9,1.314,ACC,Syracuse,24-25,12,Australia
Marah Dykstra,Playmaking Big,602,2022,9,0.854,Big Sky,Montana State,24-25,12,Canada
Justina King,Secondary Ball Handler,508,2018,6,0.692,Big West,Long Beach State,21-22,12,Canada
Ella Bradley,Slashing Wing,601,2018,6,0.667,Lone Star,UT Tyler,24-25,11,New Zealand
Agnes Emma-Nnopu,Rim Finishing Big,511,2018,9,0.883,PAC12,Stanford,23-24,11,Australia
Ioanna Chatzileonti,Playmaking Big,602,2019,11,0.624,Big 12,Kansas,21-22,10,Greece
Vittoria Blasigh,Dynamic Shooting Wing,509,2022,8,0.864,AAC,South Florida,24-25,10,Italy
Lina Falk,Playmaking Wing,602,2022,8,0.639,Big Sky,Sacramento State,24-25,10,Germany
Lilly Parke,Slashing Wing,602,2022,8,0.6,NEC,FDU,24-25,10,New Zealand
Emma Clarke,Stretch Big,601,2018,7,0.717,PAC12,Colorado,19-20,10,Australia
Christina Morra,Post-Up Big,602,2018,15,0.946,ACC,Wake Forest,21-22,9.4,Canada
Emily Bessoir,Dynamic Shooting Wing,604,2019,12,0.838,PAC12,UCLA,22-23,9,Germany
Sofia Kelemeni,Dynamic Shooting Wing,600,2022,7,0.515,MW,SJSU,24-25,9,Greece
Angeliki Ziaka,Playmaking Big,600,2023,10,0.816,WCC,USF,24-25,8,Greece
Franka Wittenberg,Playmaking Ball Handler,508,2021,5,0.458,MAAC,Canisius,24-25,8,Germany
Sara Lundqvist,Stretch Big,602,2018,3,0.556,D2,Fresno Pacific,22-23,8,Sweden
Grace Hunter,Playmaking Wing,510,2018,4,0.5,Big West,CSUB,22-23,8,New Zealand
Isabel Palmer,Secondary Ball Handler,509,2018,9,0.691,PAC12,Utah,22-23,8,Australia
Karla Erjavec,Slashing Wing,510,2017,15,0.938,MW,Wyoming,21-22,7,Croatia
Nika Muhl,Playmaking Ball Handler,511,2018,10,0.724,Big East,Uconn,23-24,7,Croatia
Elea Gaba,Post-Up Big,603,2019,7,0.688,MAC,Buffalo,20-21,7,Germany
Jessika Schiffer,Playmaking Wing,509,2018,7,0.752,MAAC,Rider,23-24,7,Germany
Precious Johnson,Post-Up Big,604,2018,7,0.64,A10,Duquesne,23-24,7,Sweden
Sofia Persson,Dynamic Shooting Wing,508,2018,4,0.449,ASUN,FGCU,23-24,7,Sweden
Nina Horvath,-,508,2022,2,0.714,Southland,East Texas A&M,24-25,7,Germany
Summah Hanson,-,603,2022,5,0.588,Big West,UC Irvine,24-25,7,Australia
Miela Goodchild,Spot Up Shooting Wing,510,2018,18,0.862,ACC,Duke,19-20,7,Australia
Ula Motuga,Rim Finishing Big,602,2018,8,0.923,PAC12,Washington St.,22-23,7,Australia
Niyah Becker,Stretch Big,602,2018,7,0.661,ACC,Wake Forest,21-22,7,Canada
Tilda Trygger,Playmaking Big,606,2023,16,0.86,ACC,NC State,24-25,6.6,Sweden
Sanna Strom,Playmaking Wing,600,2019,7.5,0.8,MW,Colorado St.,24-25,6.6,Sweden
Edessa Noyan,Post-Up Big,603,2022,8.9,0.83,ACC,Virginia,24-25,6,Sweden
Cynthia Ezeja,Post-Up Big,602,2019,4,0.571,WCC,LMU,23-24,6,Greece
Silvia Nativi,Playmaking Wing,600,2019,3,0.544,CUSA,Louisiana Tech,23-24,6,Italy
Vanessa Taylor,Slashing Wing,508,2018,3,0.344,CAA,Elon,23-24,6,Sweden
Mackenzie Chatfield,Playmaking Wing,509,2022,8,0.494,CUSA,Western Kentucky,24-25,6,New Zealand
Maddie Morrow,Spot Up Shooting Wing,509,2022,4,0.88,D2,Art U,24-25,6,New Zealand
Jessica Petrie,Spot Up Shooting Wing,602,2022,6,0.795,BIG 10,Nebraska,24-25,6,Australia
Lemyah Hylton,Playmaking Wing,511,2022,8,0.533,ACC,Miami,23-24,6,Canada
Cheyenne Rowe,Playmaking Big,602,2022,4,0.96,AAC,UTSA,24-25,6,Canada
 Taya Hanson,Dynamic Shooting Wing,511,2018,10,0.667,PAC12,Oregon,22-23,6,Canada
Kiandre Browne,Rim Finishing Big,602,2018,4,0.852,A10,Duquesne,24-25,6,Canada
Alice Curman,Playmaking Wing,509,2023,3,0.66,MVC,SIU,24-25,5.5,Sweden
Mia Vuksic,Dynamic Shooting Wing,600,2019,12,0.832,WCC,USF,24-25,5,Croatia
Petra Bozan,Post-Up Big,603,2023,12,0.888,BIG 10,Nebraska,24-25,5,Croatia
Mihaela Lazic,Playmaking Wing,506,2018,10,0.694,CUSA,FIU,22-23,5,Croatia
Olivia Harm,Spot Up Shooting Wing,601,2023,5.3,0.63,Canada,Saskatchewan,24-25,5,Sweden
Paula Graichen,Spot Up Shooting Wing,604,2021,3,0.538,D2,Westmont,22-23,5,Germany
Allyah Leusogi-Ape,Playmaking Wing,510,2022,8,0.93,D2,Grayson,24-25,5,New Zealand
Tayla Dalton,Playmaking Wing,509,2018,7,0.814,WCC,Gonzaga,24-25,5,New Zealand
Fatima Diakhate,Post-Up Big,605,2022,10,0.838,SEC,Georgia,24-25,5,Canada
Georgia Grigoropoulou,Rim Finishing Big,603,2021,8,0.633,WCC,Santa Clara,24-25,4,Greece
Rose Nelson,-,601,2022,2,0.615,A10,Fordham,23-24,4,Australia
Kobe King Hawea,-,511,2018,2,0.917,Big 12,Texas,21-22,4,Australia
Lovisa Asbrink Hose,Post-Up Big,606,2022,2.6,0.45,AAC,FAU,24-25,3.4,Sweden
Hana Muhl,Playmaking Wing,508,2021,13,0.887,MAC,Ball State,23-24,3,Croatia
Mailien Rolf,Playmaking Wing,510,2023,10,0.74,Big 12,Arizona,24-25,3,Germany
Danielle Arigbabu,-,604,2018,5,1.063,Big 12,West Virginia,23-24,3,Germany
Tonka Jaksic,Playmaking Wing,511,2023,5,0.561,Lone Star,Eastern New Mexico,24-25,3,Croatia
Lara Langermann,Playmaking Wing,507,2023,4,0.608,MW,New Mexico,24-25,3,Germany
Filippa Goula,Playmaking Ball Handler,507,2019,3,0.613,Horizon,Cleveland State,24-25,3,Greece
Miriam Diala,Stretch Big,601,2023,3,0.447,A10,George Washington,24-25,3,Germany
Florence Dallow,Slashing Wing,602,2022,8,0.58,WCC,Portland,24-25,3,New Zealand
Vitolia Tuilave,-,602,2022,4,0.947,SoCon,Wofford,23-24,3,New Zealand
Charlotte Whittaker,Rim Finishing Big,603,2018,14,1.045,PAC12,Colorado,23-24,3,New Zealand
Izzy Anstey,Post-Up Big,604,2018,11,0.915,PAC12,UCLA,21-22,3,Australia
Emma Koabel,Dynamic Shooting Wing,511,2022,10,0.886,ACC,Duke,23-24,3,Canada
Kenya Cote Lysius,Playmaking Wing,508,2018,3,0.615,A10,La Salle,21-22,3,Canada
Julia Nystrom,Playmaking Wing,507,2019,4.6,0.44,A10,Saint Joseph's,24-25,2.5,Sweden
Lucija Banovic,Slashing Wing,600,2023,15,0.839,Ivy,Dartmouth,24-25,2,Croatia
Ismini Prapa,Scoring Ball Handler,507,2019,11,0.755,ACC,Pittsburg,19-20,2,Greece
Lucija Kostic,Playmaking Big,602,2018,11,0.954,WCC,USF,21-22,2,Croatia
Marta Savic,Post-Up Big,601,2019,7,0.75,MW,Wyoming,23-24,2,Croatia
Mikela Cooper,Stretch Big,601,2022,5,0.692,D2,Bentley,24-25,2,Greece
Jyordanna Davey,Stretch Big,600,2022,3,0.593,D2,Dodge City,23-24,2,New Zealand
Rochelle Fourie,Post-Up Big,603,2018,5,0.926,Big West,CSUN,22-23,2,New Zealand
Isla Juffermans,Rim Finishing Big,604,2022,17,1.09,ACC,Louisville,24-25,2,Australia
Shantavia Dawkins,Slashing Wing,508,2022,4,0.625,A10,Dayton,24-25,2,Canada
Frieda Buhner,Stretch Big,,2022,12,0.739,ACC,Florida,22-23,1.5,Germany
Alma Elsnitz,Slashing Wing,511,2019,8.3,0.74,PAC12,California,23-24,1.5,Sweden
Christina Katsamouri,-,600,2018,2,0.7,MAAC,Manhattan,22-23,1.5,Greece
Stella Szabo,Playmaking Wing,511,2022,6.3,0.52,WCC,Pacific,24-25,1.4,Sweden
Freideriki (Eri) Blithikioti,Secondary Ball Handler,511,2023,5,0.56,Big West,UC San Diego,24-25,1,Greece
Hilke Feldrappe,Stretch Big,603,2022,5,0.515,SEC,Missouri,24-25,1,Germany
Anastasia Drosouni,-,511,2021,2,0.33,ACC,Cal,24-25,1,Greece
Clara Rosini,-,510,2019,2,0.484,Southland,McNeese,22-23,1,Italy
Paula Haw,-,605,2022,2,0.867,Big Sky,Sacramento State,24-25,1,Germany
Sara Deidda,Spot Up Shooting Wing,,2022,2,0.324,SoCon,Wofford,24-25,1,Croatia
Karla Vres,-,603,2017,1,0.553,BIG 10,Ohio State,23-24,1,Croatia
Roxane Makolo,Slashing Wing,510,2018,9,0.643,PAC12,USC,23-24,1,Canada
Ida Jonsson Ojala,Post-Up Big,602,2019,5,0.87,MAC,Buffalo,23-24,0.8,Sweden
Tiffany Barbosa,Dynamic Shooting Wing,510,2023,18,0.85,WCC,Portland,24-25,0.7,Sweden
Anna Maria Prifti,Stretch Big,600,2021,4,0.429,A10,Saint Louis,21-22,0.6,Greece
Lamprini Polymeni,Playmaking Wing,509,2021,10,0.548,Big Sky,Montana,21-22,0.4,Greece
Lova Lagerlid,Slashing Wing,600,2023,5.1,0.75,Big 12,Colorado,24-25,0,Sweden
Polyxeni (Zenia) Palaska,Post-Up Big,602,2023,5,0.681,American East,Vermont,23-24,0,Greece
Theoni Tsami,Rim Finishing Big,601,2023,5,0.56,Big West,UC Davis,24-25,0,Greece
Ioanna Stefanaki,Playmaking Wing,509,2023,1,0.28,Big Sky,Idaho St.,23-24,0,Greece